K11093	U1-70k:AT3G50670
K05577	NdhF:ArthCp071
K02911	Rpl32:ArthCp072
K05349	AT3G47000:AT3G47000
K05575	NdhD:ArthCp074
K00889	Pip5k3:AT2G26420
K05576	NdhE:ArthCp076
K05578	NdhG:ArthCp077
K00517	Cyp82c4:AT4G31940
K02135	AT1G51650:AT1G51650
K12613	Dcp2:AT5G13570
K01188	DIN2:AT3G60140
K13463	Coi1:AT2G39940
K03094	Ask12:AT4G34470
K11517	AT3G14150:AT3G14150
K12882	Abh1:AT2G13540
K09422	Myb59:AT5G59780
K14486	MP:AT1G19850
K13508	GpaT7:AT5G06090
K15397	KCS7:AT1G71160
K06674	Smc2:AT5G62410
K00472	AT-P4H-1:AT2G43080
K00249	Ibr3:AT3G06810
K04487	Nfs1:AT5G65720
K13426	WrkY29:AT4G23550
K01783	AT3G01850:AT3G01850
K01934	AT1G76730:AT1G76730
K05868	CycB1:AT4G37490
K12486	Agd5:AT5G54310
K01662	DxpS3:AT5G11380
K10839	AT5G16090:AT5G16090
K10760	Ipt5:AT5G19040
K01623	AT3G52930:AT3G52930
K01610	Pck1:AT4G37870
K09338	Hdg1:AT3G61150
K13993	AT1G53540:AT1G53540
K01633	FOLB2:AT5G62980
K08337	Apg7:AT5G45900
K00681	Ggt3:AT1G69820
K01126	AT5G08030:AT5G08030
K12449	Axs1:AT2G27860
K13068	Ugt84a2:AT3G21560
K03062	AT2G20140:AT2G20140
K12657	P5cS1:AT2G39800
K00030	IDH-III:AT4G35650
K03885	NDB4:AT2G20800
K13126	AT3G52150:AT3G52150
K03100	TPP:AT2G30440
K01090	Abi2:AT5G57050
K07466	AT1G10590:AT1G10590
K12896	RSZP21:AT1G23860
K03655	AT2G01440:AT2G01440
K00430	AT3G03670:AT3G03670
K00083	CAD9:AT4G39330
K01897	LacS6:AT3G05970
K01962	Cac3:AT2G38040
K09422	Etc1:AT1G01380
K14492	ARR3:AT1G59940
K01247	AT1G75230:AT1G75230
K08150	Int1:AT2G43330
K00924	Ost1:AT4G33950
K14563	FIB2:AT4G25630
K11718	Ebs1:AT1G71220
K02527	KDTA:AT5G03770
K11418	Hda2:AT5G26040
K09264	Ap1:AT1G69120
K00036	G6pD2:AT5G13110
K03111	AT3G18580:AT3G18580
K15787	UGT78D1:AT1G30530
K01188	BGLU24:AT5G28510
K11000	Gsl1:AT4G04970
K08054	CNX1:AT5G61790
K00799	GSTU12:AT1G69920
K01230	MNS3:AT1G30000
K11644	Snl4:AT1G70060
K01945	AT1G09830:AT1G09830
K01190	BgaL2:AT3G52840
K12625	AT3G59810:AT3G59810
K06444	Lut2:AT5G57030
K12836	U2aF35b:AT5G42820
K13412	Cpk22:AT4G04710
K13448	AT3G25600:AT3G25600
K02937	AT3G13580:AT3G13580
K10085	AT5G43710:AT5G43710
K14324	Sap18:AT2G45640
K01537	Aca4:AT2G41560
K08679	Gae4:AT2G45310
K14400	AT2G36480:AT2G36480
K00600	Eda36:AT4G13890
K11086	AT5G44500:AT5G44500
K10760	AtiPt4:AT4G24650
K13417	SerK4:AT2G13790
K00799	GSTU15:AT1G59670
K03648	UNG:AT3G18630
K01874	AT4G13780:AT4G13780
K01626	AT1G22410:AT1G22410
K01090	KapP:AT5G19280
K02133	AT5G08690:AT5G08690
K12638	Cyp90d1:AT3G13730
K02929	AT4G14320:AT4G14320
K00764	AtaSe3:AT4G38880
K00801	Sqs2:AT4G34650
K12850	AtsRl1:AT5G37370
K10760	AtiPt8:AT3G19160
K12185	AT2G36680:AT2G36680
K01648	AclA-2:AT1G60810
K01658	AT1G25083:AT1G25083
K00430	AT1G68850:AT1G68850
K12830	AT3G55220:AT3G55220
K01883	AT5G38830:AT5G38830
K08857	Nek6:AT3G44200
K14488	AT5G20810:AT5G20810
K10798	ParP2:AT2G31320
K05658	PGP14:AT1G28010
K00654	AT3G48790:AT3G48790
K06689	Ubc28:AT1G64230
K00106	Xdh1:AT4G34890
K02943	AT3G44590:AT3G44590
K12735	Cyp59:AT1G53720
K00627	Lta3:AT3G52200
K00914	AtvPs34:AT1G60490
K10843	Xpb2:AT5G41360
K02866	Sac52:AT1G14320
K12196	Skd1:AT2G27600
K00278	Ao:AT5G14760
K12816	AT1G10580:AT1G10580
K00901	Dgk1:AT5G07920
K00799	GSTU3:AT2G29470
K01535	Aha1:AT2G18960
K13126	PAB6:AT3G16380
K15397	KCS11:AT2G26640
K14496	PYL4:AT2G38310
K14492	RR5:AT3G48100
K14509	ETR2:AT3G23150
K10846	Uvh3:AT3G28030
K08486	Syp111:AT1G08560
K02949	RPS11-BETA:AT5G23740
K10143	Cop1:AT2G32950
K09754	Cyp98a8:AT1G74540
K00601	AT1G31220:AT1G31220
K01757	AT1G74010:AT1G74010
K07953	AT3G62560:AT3G62560
K03801	Lip2:AT1G04640
K13176	THO7:AT3G02950
K01537	Eca2:AT4G00900
K05291	AT3G07180:AT3G07180
K08496	MemB12:AT5G50440
K14498	SNRK2.3:AT5G66880
K01853	AtpEn3:AT5G36150
K14565	AT5G27120:AT5G27120
K10858	Pms1:AT4G02460
K12115	Ztl:AT5G57360
K01623	FBA2:AT4G38970
K03066	Rpt6a:AT5G19990
K13519	AT1G12640:AT1G12640
K06067	Hda9:AT3G44680
K03639	Cnx3:AT1G01290
K10734	Ttn10:AT1G19080
K00940	NDPK1:AT4G09320
K14538	AT3G07050:AT3G07050
K05298	GapA:AT3G26650
K12501	AthSt:AT3G11945
K05359	ADT1:AT1G11790
K12373	HexO2:AT1G05590
K05658	Pgp9:AT4G18050
K08241	Jmt:AT1G19640
K00688	AT3G29320:AT3G29320
K14307	AT4G37130:AT4G37130
K08869	AtaBc1:AT4G01660
K13508	GpaT5:AT3G11430
K09338	Hdg4:AT4G17710
K13681	Fut7:AT1G14070
K13422	Myc2:AT1G32640
K08472	Mlo12:AT2G39200
K03013	NrpB5:AT3G22320
K01238	BglU32:AT5G24550
K13811	Aps1:AT3G22890
K04646	AT3G08530:AT3G08530
K13993	HSP17.6II:AT5G12020
K14312	Nup155:AT1G14850
K02739	Pbb1:AT3G27430
K03283	CPHSC70-2EAT_SHOCK_PROTEIN_70-2:AT5G49910
K01899	AT5G23250:AT5G23250
K08233	Mes3:AT2G23610
K10875	RAD54:AT3G19210
K10599	MAC3A:AT1G04510
K00558	Cmt1:AT1G80740
K10704	Mmz3:AT2G36060
K03347	AT1G59790:AT1G59790
K00423	Sks12:AT1G55570
K12603	AT3G58560:AT3G58560
K03106	CPSRP54:AT5G03940
K02973	AT3G09680:AT3G09680
K01110	PTEN1:AT5G39400
K00011	AT2G37790:AT2G37790
K07953	SAR1B:AT1G56330
K09755	Fah1:AT4G36220
K07374	TUA1:AT1G64740
K13126	PAB7:AT2G36660
K02183	Cam4:AT1G66410
K02864	AT5G13510:AT5G13510
K08695	Ban:AT1G61720
K01091	AT5G36790:AT5G36790
K03937	Fro1:AT5G67590
K13448	AT2G15680:AT2G15680
K01658	Asb1:AT1G25220
K00472	AT5G66060:AT5G66060
K09873	Tip1:AT4G01470
K13681	Fut8:AT1G14100
K05387	Glr1.4:AT3G07520
K00517	Cyp71b29:AT1G13100
K09338	AthB6:AT2G22430
K12843	AT1G28060:AT1G28060
K00799	GSTU27:AT3G43800
K13448	Agd11:AT3G07490
K00600	Shm6:AT1G22020
K02155	Ava-p4:AT1G75630
K03165	TOP3A:AT5G63920
K00228	Lin2:AT1G03475
K01853	Cas1:AT2G07050
K02155	AT2G16510:AT2G16510
K04371	AtmPk10:AT3G59790
K01177	BAM2:AT4G00490
K00511	Sqp1:AT5G24150
K11130	Nop10:AT2G20490
K00360	Nia1:AT1G77760
K09338	AthB-2:AT4G16780
K09422	Myb4r1:AT3G18100
K01897	LacS7:AT5G27600
K08515	VAMP711:AT4G32150
K02933	AT2G18400:AT2G18400
K00218	PorB:AT4G27440
K10752	Msi2:AT2G16780
K10801	AT3G07930:AT3G07930
K12131	AprR3:AT5G60100
K11866	AMSH1:AT1G48790
K00645	AT2G30200:AT2G30200
K07975	Rop1:AT3G51300
K11096	AT2G47640:AT2G47640
K00517	Cyp71b21:AT3G26190
K00765	ATP-PRT2:AT1G09795
K01953	Asn3:AT5G10240
K11353	AT2G33220:AT2G33220
K01679	Fum1:AT2G47510
K08912	Cab1:AT1G29930
K00383	Gr:AT3G54660
K07375	Tub3:AT5G62700
K13025	AT1G51380:AT1G51380
K02372	AT2G22230:AT2G22230
K01520	DUT1:AT3G46940
K04382	Pp2A-1:AT1G59830
K02983	AT4G29390:AT4G29390
K11437	PrmT6:AT3G20020
K01711	Mur1:AT3G51160
K09422	Myb115:AT5G40360
K01893	Ns1:AT4G17300
K08504	Bs14a:AT3G58170
K15799	AT5G44630:AT5G44630
K10684	SAE1B:AT5G50680
K03639	Cnx2:AT2G31955
K08341	ATG8F:AT4G16520
K14484	IAA7:AT3G23050
K12122	PhyD:AT4G16250
K00558	Cmt2:AT4G19020
K08242	Smt3:AT1G76090
K08269	AT2G37840:AT2G37840
K12845	AT4G22380:AT4G22380
K00847	AT1G06020:AT1G06020
K13946	AUX1:AT2G38120
K12251	NLP1:AT2G27450
K02962	AT2G04390:AT2G04390
K03178	AtuBa2:AT5G06460
K01188	ATA27:AT1G75940
K01598	Hal3a:AT3G18030
K00873	AT3G55810:AT3G55810
K11092	U2a':AT1G09760
K02069	Als3:AT2G37330
K01568	AT5G01320:AT5G01320
K10849	ErcC1:AT3G05210
K11423	Efs:AT1G77300
K03259	AT1G29550:AT1G29550
K01951	AT1G63660:AT1G63660
K03062	Rpt2a:AT4G29040
K09422	Myb39:AT4G17785
K00036	G6pD6:AT5G40760
K00430	AT5G64110:AT5G64110
K13648	GauT13:AT3G01040
K10591	Upl5:AT4G12570
K02971	AT3G53890:AT3G53890
K01783	Rpe:AT5G61410
K01188	BGLU36:AT1G51490
K02891	AT3G05560:AT3G05560
K09264	Ag:AT4G18960
K03846	AT1G16900:AT1G16900
K01897	LACS4:AT4G23850
K01188	BglU13:AT5G44640
K06617	DIN10:AT5G20250
K12154	CYP79F1:AT1G16410
K01968	MCCA:AT1G03090
K09338	AthB18:AT1G70920
K08967	ARD4:AT5G43850
K09338	Hdg3:AT2G32370
K14318	MOS7:AT5G05680
K11420	SUVH7:AT1G17770
K14432	AT5G44080:AT5G44080
K11816	Yuc1:AT4G32540
K00161	E1_ALPHA:AT1G59900
K13175	DWA1:AT2G19430
K08658	FacE2:AT2G36305
K13800	AT4G25280:AT4G25280
K10290	SkiP16:AT1G06110
K13379	Rgp4:AT5G50750
K00387	Sox:AT3G01910
K08850	AtaUr1:AT4G32830
K07374	TUA2:AT1G50010
K12896	SRZ-22:AT4G31580
K02907	AT5G55140:AT5G55140
K11407	Hda18:AT5G61070
K13137	AT1G52730:AT1G52730
K02908	AT1G77940:AT1G77940
K12606	AT3G20800:AT3G20800
K14006	AT4G14160:AT4G14160
K12614	AT2G45810:AT2G45810
K10775	Pal4:AT3G10340
K03013	NrpE5:AT3G57080
K13412	Cpk27:AT4G04700
K01792	AT3G01590:AT3G01590
K09422	Rax2:AT2G36890
K01800	GSTZ2:AT2G02380
K00088	AT1G16350:AT1G16350
K12823	AT3G06480:AT3G06480
K00517	Cyp71b31:AT3G53300
K13681	Fut10:AT2G15350
K02717	PsbP-1:AT1G06680
K00430	AT3G21770:AT3G21770
K06269	TOPP2:AT5G59160
K12896	AT2G24590:AT2G24590
K02110	AtpH:ArthCp009
K02109	AtpF:ArthCp008
K02712	PsbK:ArthCp005
K10839	RAD23A:AT1G16190
K02111	AtpA:ArthCp007
K02710	PsbI:ArthCp006
K10753	Asf1b:AT5G38110
K02703	PsbA:ArthCp002
K14759	AT1G68890:AT1G68890
K10732	Psf1:AT1G80190
K00632	Pkt3:AT2G33150
K00814	Ggt1:AT1G23310
K00517	Cyp71a20:AT4G13310
K12619	Xrn3:AT1G75660
K07767	Erh3:AT1G80350
K05391	AtcNgc14:AT2G24610
K13412	Cpk33:AT1G50700
K10976	ERO1:AT1G72280
K02265	AT3G15640:AT3G15640
K04802	PcnA1:AT1G07370
K08472	Mlo10:AT5G65970
K08857	AtnEk3:AT5G28290
K00164	AT5G65750:AT5G65750
K03029	Rpn10:AT4G38630
K01873	EMB2247:AT5G16715
K06689	UBC10:AT5G53300
K02437	AT2G35120:AT2G35120
K10839	RAD23C:AT3G02540
K00856	Adk2:AT5G03300
K14488	AT3G20220:AT3G20220
K02924	AT3G02190:AT3G02190
K03405	ChlI2:AT5G45930
K12667	HAP6:AT4G21150
K14508	NPR3:AT5G45110
K12669	AT1G11560:AT1G11560
K13648	GauT10:AT2G20810
K02872	AT3G24830:AT3G24830
K07739	Elo3:AT5G50320
K03238	Eif2 beta:AT5G20920
K16190	AT5G14470:AT5G14470
K08235	Xth3:AT3G25050
K00430	AT3G28200:AT3G28200
K04371	AtmPk13:AT1G07880
K12835	AT2G47330:AT2G47330
K02160	Cac1:AT5G16390
K09338	AthB17:AT2G01430
K13448	CML43:AT5G44460
K01011	Mst1:AT1G79230
K03033	EMB2719:AT1G20200
K08515	VAMP713:AT5G11150
K14514	EIN3:AT3G20770
K15923	FUC95A:AT4G34260
K06970	Fio1:AT2G21070
K03010	NrpB2:AT4G21710
K03943	AT4G02580:AT4G02580
K13680	AtcSla09:AT5G03760
K02882	AT3G14600:AT3G14600
K08911	LhcA5:AT1G45474
K00889	AT1G10900:AT1G10900
K13484	Ttl:AT5G58220
K10592	Upl2:AT1G70320
K10704	Mmz1:AT1G23260
K00565	AT3G52210:AT3G52210
K10578	Ubc32:AT3G17000
K10775	Pal3:AT5G04230
K16223	FT:AT1G65480
K00671	Nmt1:AT5G57020
K08244	Sex1:AT1G10760
K02140	AT2G19680:AT2G19680
K04564	AT3G56350:AT3G56350
K00789	Mto3:AT3G17390
K09646	ScpL51:AT2G27920
K02922	AT1G15250:AT1G15250
K02693	PsaE-1:AT4G28750
K01476	AT4G08900:AT4G08900
K04498	Hac4:AT1G55970
K01533	Hma5:AT1G63440
K01710	Uxs1:AT3G53520
K01689	ENOC:AT2G29560
K00975	Apl3:AT4G39210
K01528	DL3:AT1G59610
K03517	Qs:AT5G50210
K14649	AT5G15570:AT5G15570
K14487	AT5G13360:AT5G13360
K00801	Sqs1:AT4G34640
K11252	Htb1:AT1G07790
K00872	Hsk:AT2G17265
K07977	ArfA1d:AT1G70490
K14232	TrnP:ArthCt106
K05387	Glr2:AT2G17260
K00844	Hkl3:AT4G37840
K12818	AT1G27900:AT1G27900
K02325	AtdPb2:AT5G22110
K03403	Gun5:AT5G13630
K01246	AT5G57970:AT5G57970
K12161	AT2G45695:AT2G45695
K01114	NPC3:AT3G03520
K00522	FER2:AT3G11050
K09422	Myb54:AT1G73410
K11420	SUVH9:AT4G13460
K08913	LhcB2.3:AT3G27690
K02603	Orc1a:AT4G14700
K14515	EBF2:AT5G25350
K00297	MthFr1:AT3G59970
K02879	AT5G09770:AT5G09770
K10760	AtiPt1:AT1G68460
K02960	AT5G18380:AT5G18380
K14509	ERS2:AT1G04310
K02926	RPL4:AT1G07320
K02891	AT1G02830:AT1G02830
K01920	Gsh2:AT5G27380
K01979	Rrn16s:ArthCr086
K14573	AT2G21440:AT2G21440
K08070	At-Aer:AT5G16970
K01476	AT4G08870:AT4G08870
K08967	AtaRd2:AT4G14710
K13237	AT2G07640:AT2G07640
K01728	AT5G15110:AT5G15110
K14006	AT3G23660:AT3G23660
K00558	Met1:AT5G49160
K01183	HCHIB:AT3G12500
K00600	Shm3:AT4G32520
K00799	GSTU4:AT2G29460
K00417	AT5G25450:AT5G25450
K01115	PLDGAMMA2:AT4G11830
K05663	Atm2:AT4G28620
K14164	Edd1:AT3G48110
K12837	AT2G33440:AT2G33440
K02877	AT4G17390:AT4G17390
K08081	AT2G29260:AT2G29260
K01915	Gln1:AT5G16570
K01166	Rns2:AT2G39780
K03941	AT1G79010:AT1G79010
K01704	IPMI1:AT3G58990
K01762	Acs2:AT1G01480
K14416	AT5G10630:AT5G10630
K14558	PWP2:AT1G15440
K04498	Hac5:AT3G12980
K14508	AT4G26120:AT4G26120
K02377	Ger1:AT1G73250
K14488	AT5G18030:AT5G18030
K11583	AT5G28850:AT5G28850
K14300	AT2G05120:AT2G05120
K01501	Nit2:AT3G44300
K12846	AT5G57370:AT5G57370
K08915	LHCB4.1:AT5G01530
K14442	AT2G01130:AT2G01130
K02183	Cam1:AT5G37780
K13356	FAR7:AT5G22420
K00873	AT5G08570:AT5G08570
K03350	Hbt:AT2G20000
K12795	Sgt1a:AT4G23570
K15406	WSD1:AT5G37300
K03259	Eif4e:AT4G18040
K00615	AT2G45290:AT2G45290
K13289	ScpL23:AT2G24010
K01115	PLDBETA2:AT4G00240
K03283	Erd2:AT1G56410
K14006	AT5G43670:AT5G43670
K13789	GgpS1:AT4G36810
K01956	CarA:AT3G27740
K05290	AT1G08750:AT1G08750
K12501	AT3G11950:AT3G11950
K01805	AT5G57655:AT5G57655
K05350	BglU46:AT1G61820
K01087	AT5G10100:AT5G10100
K00830	Agt:AT2G13360
K13941	AT4G30000:AT4G30000
K14005	AT3G63460:AT3G63460
K03217	Alb3:AT2G28800
K00975	Aps2:AT1G05610
K08282	PhoT1:AT3G45780
K09422	Myb83:AT3G08500
K00948	PRS2:AT1G32380
K03105	AT1G48160:AT1G48160
K00227	Ste1:AT3G02580
K00430	AT2G18150:AT2G18150
K10872	Dmc1:AT3G22880
K00454	Lox2:AT3G45140
K12467	AT3G25810:AT3G25810
K09486	AT4G16660:AT4G16660
K09580	PDIL1-5:AT1G52260
K12133	Lhy:AT1G01060
K09490	Bip2:AT5G42020
K13379	Rgp2:AT5G15650
K03127	Taf13:AT1G02680
K03504	PolD3:AT1G78650
K14169	AT4G35910:AT4G35910
K02734	Pbd2:AT4G14800
K12356	Ugt72e2:AT5G66690
K13347	PMP22:AT4G04470
K01893	SynC1:AT5G56680
K01188	BGLU42:AT5G36890
K02964	Pfl:AT1G22780
K14432	ABF4:AT3G19290
K12836	AT3G44785:AT3G44785
K00128	ALDH3F1:AT4G36250
K00924	Tmk1:AT1G66150
K14289	Hst:AT3G05040
K12479	VPS45:AT1G77140
K10956	AT1G29310:AT1G29310
K13126	PAB4:AT2G23350
K13289	ScpL21:AT3G25420
K05658	PGP13:AT1G27940
K15403	HTH:AT1G72970
K05391	CNGC7:AT1G15990
K09422	Myb90:AT1G66390
K01893	Ns2:AT3G07420
K05605	AT2G30650:AT2G30650
K00134	GapC2:AT1G13440
K08497	AtSec20:AT3G24315
K03237	EIF2_ALPHA:AT5G05470
K08734	Mlh1:AT4G09140
K09422	Myb305:AT3G24310
K07407	AGAL2:AT5G08370
K01090	TopP5:AT3G46820
K00852	AT1G17160:AT1G17160
K02957	RPS15AD:AT3G46040
K10257	Fad7:AT3G11170
K04040	G4:AT3G51820
K00899	MTK:AT1G49820
K02486	PhyB:AT2G18790
K01693	IGPD:AT3G22425
K07976	RabC2a:AT5G03530
K02838	Rrf:AT3G63190
K05868	CycB2:AT1G76310
K01519	AT4G13720:AT4G13720
K09338	Hb-2:AT2G18550
K08057	CRT1a:AT1G56340
K07976	RabA4b:AT4G39990
K03093	SigE:AT5G24120
K00924	Clv1:AT1G75820
K12197	VPS46.2:AT1G73030
K01982	Rrn23s:ArthCr087
K01522	FHIT:AT5G58240
K10528	Hpl1:AT4G15440
K01057	PGL5:AT5G24420
K09903	AT3G18680:AT3G18680
K09287	Tem1:AT1G25560
K05310	AT2G22530:AT2G22530
K03106	AT1G48900:AT1G48900
K02152	Vag2:AT4G23710
K00549	ATMS1:AT5G17920
K03921	AT3G02610:AT3G02610
K00940	NdpK2:AT5G63310
K02737	Pbe1:AT1G13060
K02998	RPSAb:AT3G04770
K00876	UKL3:AT1G55810
K08912	Cab2:AT1G29920
K13460	Rps5:AT1G12220
K06636	Ttn8:AT3G54670
K10717	Cyp735a2:AT1G67110
K11420	SUVH4:AT5G13960
K12587	AT4G27490:AT4G27490
K09872	Pip2:AT5G60660
K00787	Fps1:AT5G47770
K01982	Rrn26:ArthMr001
K01858	MipS2:AT2G22240
K01979	Rrn18:ArthMr003
K01981	Rrn5:ArthMr002
K09481	AT3G60540:AT3G60540
K13421	AT3G54470:AT3G54470
K01759	AT1G67280:AT1G67280
K01866	AT2G33840:AT2G33840
K00059	AT3G03980:AT3G03980
K11251	Hta8:AT2G38810
K07466	AT2G33845:AT2G33845
K15918	AT1G80380:AT1G80380
K09874	Nlm1:AT4G19030
K09422	AtmYb9:AT5G16770
K03133	TAFII21:AT1G54140
K11841	Ubp24:AT4G30890
K00799	GSTU14:AT1G27140
K06130	AT5G20060:AT5G20060
K03754	AT3G07300:AT3G07300
K03094	Skp1:AT1G75950
K11584	AT3G21650:AT3G21650
K00430	AT4G26010:AT4G26010
K05929	Xpl1:AT3G18000
K14320	AT3G56900:AT3G56900
K08238	Xxt5:AT1G74380
K13523	LpaT3:AT1G51260
K01785	AT3G47800:AT3G47800
K12272	AT5G05670:AT5G05670
K10580	UBC35:AT1G78870
K02183	Cam7:AT3G43810
K01867	AT3G04600:AT3G04600
K00799	GSTU8:AT3G09270
K00632	Pkt2:AT5G48880
K02355	Sco1:AT1G62750
K00215	AT2G44040:AT2G44040
K00327	Atr1:AT4G24520
K14411	AT5G55550:AT5G55550
K01897	LacS2:AT1G49430
K01728	AT1G67750:AT1G67750
K00888	ATPI4K_ALPHA:AT1G49340
K07942	Arf3:AT2G24765
K00889	AT1G60890:AT1G60890
K02985	AT5G35530:AT5G35530
K12858	AT1G28180:AT1G28180
K14487	AT5G13350:AT5G13350
K00640	AtsErat2:AT1G55920
K07936	AtrAn4:AT5G55080
K14566	AT1G26530:AT1G26530
K09588	Cpd:AT5G05690
K02996	Rps9:AT1G74970
K13412	Cpk15:AT4G21940
K06627	CycA3:AT5G43080
K00697	AttPs2:AT1G16980
K01719	HEMD:AT2G26540
K12819	AT3G45950:AT3G45950
K02608	Orc6:AT1G26840
K10839	Rad23:AT1G79650
K06268	CBL8:AT1G64480
K10950	ERO2:AT2G38960
K09422	Myb24:AT5G40350
K12194	Snf7.1:AT4G29160
K09842	Aao3:AT2G27150
K01869	AT1G09620:AT1G09620
K13448	AT1G12310:AT1G12310
K06965	PEL1:AT4G27650
K08235	Tch4:AT5G57560
K14537	AT1G52980:AT1G52980
K01739	Mto1:AT3G01120
K08081	AT2G29300:AT2G29300
K11292	Gtb1:AT1G65440
K02921	AT3G60245:AT3G60245
K01230	MNS2:AT3G21160
K03124	AT3G10330:AT3G10330
K01728	AT3G01270:AT3G01270
K00681	Ggt4:AT4G29210
K00789	Mat3:AT2G36880
K03035	Rpn5b:AT5G64760
K01627	AtkDsa2:AT1G16340
K13280	AT3G15710:AT3G15710
K10739	Rpa2:AT2G24490
K02695	PsaH-1:AT3G16140
K01358	ClpP6:AT1G11750
K09422	AtmYb5:AT3G13540
K00134	GAPCP-1:AT1G79530
K02705	PsbC:ArthCp018
K11778	Lew1:AT1G11755
K02714	PsbM:ArthCp016
K02706	PsbD:ArthCp017
K03043	RpoB:ArthCp014
K03689	PetN:ArthCp015
K03046	RpoC2:ArthCp012
K03046	RpoC1:ArthCp013
K02108	AtpI:ArthCp010
K02967	Rps2:ArthCp011
K00028	NAD-ME1:AT2G13560
K04532	Axl:AT2G32410
K14402	CPSF100:AT5G23880
K00921	FAB1B:AT3G14270
K03094	Ask3:AT2G25700
K03019	AT4G07950:AT4G07950
K14285	Ntf2a:AT1G27310
K12872	AT1G07360:AT1G07360
K02692	PsaD-2:AT1G03130
K01051	PPME1:AT1G69940
K15795	TPS13:AT4G13300
K04718	SPHK1:AT4G21540
K13428	Efr:AT5G20480
K12817	AT1G54590:AT1G54590
K00928	AK-LYS1:AT5G13280
K11883	AT5G41190:AT5G41190
K05953	Nas3:AT1G09240
K03787	AT1G72880:AT1G72880
K09422	Myb28:AT5G61420
K07977	AtaRf1:AT1G23490
K12190	AT5G04920:AT5G04920
K05857	PLC5:AT5G58690
K13448	CML42:AT4G20780
K12175	Fus6:AT3G61140
K00799	ERD9:AT1G10370
K12819	Smp1:AT1G65660
K08054	AT5G07340:AT5G07340
K12235	AtsR:AT4G11640
K01251	MEE58:AT4G13940
K00697	AttPs7:AT1G06410
K02729	Pae2:AT3G14290
K12621	AT1G03330:AT1G03330
K09338	AthB-1:AT3G01470
K01087	AT4G12430:AT4G12430
K08963	AT2G05830:AT2G05830
K03070	AT1G21650:AT1G21650
K00849	GalK:AT3G06580
K14285	Ntl:AT1G11570
K13648	GauT6:AT1G06780
K08864	Tsl:AT5G20930
K10355	Act12:AT3G46520
K02128	AT2G07671:AT2G07671
K14962	AT5G14530:AT5G14530
K02295	Uvr3:AT3G15620
K07375	Tub1:AT1G75780
K02969	AT3G47370:AT3G47370
K00999	AtpIs1:AT1G68000
K01885	AT5G26710:AT5G26710
K00430	AT3G50990:AT3G50990
K07375	Tub2:AT5G62690
K11462	Fie:AT3G20740
K02974	AT5G28060:AT5G28060
K02983	AT5G56670:AT5G56670
K00797	SpdS2:AT1G70310
K01061	AT2G32520:AT2G32520
K01466	AtaLn:AT4G04955
K08057	CRT3:AT1G08450
K13789	AT2G18620:AT2G18620
K01183	AT4G19810:AT4G19810
K10436	AteB1b:AT5G62500
K10752	Msi1:AT5G58230
K00827	Agt2:AT4G39660
K08099	Clh2:AT5G43860
K00012	AT5G15490:AT5G15490
K05359	ADT5:AT5G22630
K00517	Cyp71a16:AT5G42590
K03283	AT3G09440:AT3G09440
K13691	Ugt74f1:AT2G43840
K01904	4cl3:AT1G65060
K08653	S1p:AT5G19660
K14407	CSTF64:AT1G71800
K02641	RFNR1:AT4G05390
K02976	AT3G56340:AT3G56340
K00430	AT2G39040:AT2G39040
K01881	AT3G62120:AT3G62120
K10144	AT3G62970:AT3G62970
K01583	Adc1:AT2G16500
K07975	Rop2:AT1G20090
K11643	Pkl:AT2G25170
K12885	ATRZ-1A:AT3G26420
K00434	Apx1:AT1G07890
K01537	Aca9:AT3G21180
K09832	CYP710A2:AT2G34490
K14500	BSK1:AT4G35230
K01807	AT5G44520:AT5G44520
K01817	Pai1:AT1G07780
K01191	AT3G26720:AT3G26720
K14293	AT5G53480:AT5G53480
K01703	Iil1:AT4G13430
K12486	ZAC:AT4G21160
K12604	AT1G02080:AT1G02080
K02958	AT5G09510:AT5G09510
K02917	AT1G07070:AT1G07070
K14571	CDC48C:AT3G01610
K09338	Hdg12:AT1G17920
K12183	Elc:AT3G12400
K03241	AT5G19485:AT5G19485
K05757	ArpC1b:AT2G31300
K13174	THO5:AT5G42920
K12874	EMB2765:AT2G38770
K02639	AT4G14890:AT4G14890
K11654	Chr17:AT5G18620
K08489	Syp43:AT3G05710
K10685	Sae2:AT2G21470
K07466	AT1G03810:AT1G03810
K12600	AT1G76630:AT1G76630
K00888	PI-4KBETA2:AT5G09350
K10777	AtlIg4:AT5G57160
K06689	Ubc4:AT5G41340
K00264	Glt1:AT5G53460
K09338	AthB16:AT4G40060
K01904	4cl5:AT3G21230
K00799	GSTU1:AT2G29490
K05282	Ga20ox1:AT4G25420
K02870	AT5G60670:AT5G60670
K13280	AT1G52600:AT1G52600
K14297	AT1G10390:AT1G10390
K01507	AtpPa4:AT3G53620
K00487	C4h:AT2G30490
K04498	Hac1:AT1G79000
K00971	Cyt1:AT2G39770
K01658	AT1G25155:AT1G25155
K03949	AT5G52840:AT5G52840
K13448	Tch2:AT5G37770
K11000	CalS5:AT2G13680
K08237	Gt72b1:AT4G01070
K01100	SbpAse:AT3G55800
K00764	AtaSe2:AT4G34740
K00083	AtcAd4:AT3G19450
K01199	Bgl2:AT3G57260
K14564	NOP56:AT1G56110
K13288	AT2G26970:AT2G26970
K03013	RPB5E:AT3G54490
K02897	AT5G66860:AT5G66860
