SPBC106.09	cut4	K03348	anaphase-promoting complex subunit Apc1
SPBC16C6.13c	sec27	K17302	coatomer beta' subunit (predicted)
SPCC1235.05c	fft2	K14439	fun thirty related protein Fft2 (predicted)
SPBC56F2.02	rpl1901	K02885	60S ribosomal protein L19
SPAC1002.17c	urg2	K00761	uracil phosphoribosyltransferase (predicted)
SPBC56F2.04	utp20	K14772	U3 snoRNP protein Utp20 (predicted)
SPBC530.10c	anc1	K05863	mitochondrial adenine nucleotide carrier Anc1
SPCC1682.16	rpt4	K03064	19S proteasome regulatory subunit Rpt4 (predicted)
SPBC8D2.14c	sed5	K08490	SNARE Sed5 (predicted)
SPAC4F8.05c	mrpl28	K17421	mitochondrial ribosomal protein subunit L28 (predicted)
SPAC4A8.16c	tif33	K03252	translation initiation factor eIF3c
SPBC3B8.07c	dsd1	K04712	dihydroceramide delta-4 desaturase 
SPCC4G3.04c	coq5	K06127	C-methytransferase (predicted)
SPAC4C5.04	rad31	K10684	SUMO E1-like activator enzyme Rad31
SPBC32H8.13c	mok12	K00749	alpha-1,3-glucan synthase Mok12 
SPAC9E9.14	vps24	K12193	ESCRT III complex subunit Vps24
SPAC9E9.11	plr1	K05275	pyridoxal reductase Plr1 
SPBC16A3.01	spn3	K16945	septin Spn3
SPCP1E11.07c	cwf18	K12871	complexed with Cdc5 protein Cwf18
SPBC342.06c	rtt109	K11309	RTT109 family histone lysine acetyltransferase
SPBC543.09	yta12	K08956	mitochondrial m-AAA protease Yta12 (predicted)
SPAC9G1.03c	rpl3001	K02908	60S ribosomal protein L30
SPBC543.07	pek1	K08294	MAP kinase kinase Pek1
SPCC338.10c	cox5	K02263	cytochrome c oxidase subunit V (predicted)
SPBC11B10.04c	mrps28	K02956	mitochondrial ribosomal protein subunit S28 (predicted)
SPCC794.07	lat1	K00627	dihydrolipoamide S-acetyltransferase E2, Lat1 (predicted) 
SPCC1450.11c	cek1	K08286	serine/threonine protein kinase Cek1
SPAC869.08	pcm2	K00573	protein-L-isoaspartate O-methyltransferase Pcm2 (predicted) 
SPAC10F6.02c	prp22	K12818	ATP-dependent RNA helicase Prp22
SPAC17G6.14c	uap56	K12812	ATP-dependent RNA helicase Uap56
SPAC31A2.09c	apm4	K11826	AP-2 adaptor complex subunit Apm4 (predicted)
SPCC1281.02c	spf30	K12839	splicing factor Spf30 (predicted)
SPBC36.06c	spo9	K00787	farnesyl pyrophosphate synthetase 
SPAC2F3.08	sut1	K15378	alpha-glucoside transporter Sut1
SPAC2F3.09	hem1	K00643	5-aminolevulinate synthase (predicted) 
SPCC1450.05c	rox3	K15138	mediator complex subunit Med19/Rox3
SPBC28F2.10c	ngg1	K11315	SAGA complex subunit Ngg1
SPAC22E12.16c	pik1	K00888	1-phosphatidylinositol 4-kinase Pik1 
SPBC15D4.04	gpt2	K01001	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase 
SPBC2A9.08c	sec22	K08517	SNARE Sec22 (predicted)
SPAC22A12.01c	pso2	K15340	DNA 5' exonuclease (predicted)
SPBC1734.14c	suc1	K02219	cyclin-dependent protein kinase regulatory subunit Suc1
SPBC3E7.08c	rad13	K10846	DNA repair nuclease Rad13
SPBC776.15c	kgd2	K00658	dihydrolipoyllysine-residue succinyltransferase 
SPAC22G7.08	ppk8	K08286	serine/threonine protein kinase Ppk8 (predicted)
SPAC1A6.04c	plb1	K13333	lysophospholipase 1 
SPAC23C11.02c	rps23	K02973	40S ribosomal protein S23
SPBC354.06	mrps16	K02959	mitochondrial ribosomal protein subunit S16 (predicted)
SPAC12B10.11	exg2	K01210	glucan glucosidase exg2 
SPAC22G7.04	ubp13	K12571	ubiquitin C-terminal hydrolase, poly(A)-specific ribonuclease complex subunit Pan2 (predicted)
SPBC354.03	swd3	K14963	WD repeat protein Swd3
SPAC1565.08	cdc48	K13525	AAA family ATPase Cdc48
SPAC1F7.05	cdc22	K10807	ribonucleoside reductase large subunit Cdc22 
SPAC1F7.04	rho1	K04513	Rho family GTPase Rho1
SPAC4F10.10c	mnn9	K05529	mannosyltransferase complex subunit, Anp family Mnn9 (predicted)
SPAC1F5.06	lsh1	K09486	ER heat shock protein Lhs1 (predicted)
SPCC23B6.05c	ssb3	K10740	DNA replication factor A subunit Ssb3
SPBC646.05c	erg9	K00801	squalene synthase Erg9 (predicted) 
SPBC2F12.08c	ceg1	K00987	mRNA guanylyltransferase Ceg1 
SPCC794.12c	mae2	K00027	malic enzyme, malate dehydrogenase (oxaloacetate decarboxylating), Mae2 
SPBP35G2.05c	cki2	K02218	serine/threonine protein kinase Cki2
SPAC19D5.05c	imp3	K14560	U3 snoRNP-associated protein Imp3 (predicted)
SPAC13F5.02c	ptr6	K03132	transcription factor TFIID complex subunit Taf7
SPCC645.14c	sti1	K09553	chaperone activator Sti1 (predicted)
SPAC31G5.09c	spk1	K04371	MAP kinase Spk1
SPCC162.08c	nup211	K09291	nucleoporin nup211
SPBC14F5.09c	ade8	K01756	adenylosuccinate lyase Ade8 
SPCC16C4.14c	sfc4	K15201	transcription factor TFIIIC complex subunit Sfc4
SPAC6F12.05c	tnr3	K00949	thiamine diphosphokinase Tnr3 
SPBC1921.03c	mex67	K14284	mRNA export receptor, Tap, nucleoporin Mex67
SPBC21D10.11c	nfs1	K04487	mitochondrial cysteine desulfurase Nfs1 (predicted) 
SPBC16D10.07c	sir2	K11121	Sir2 family histone deacetylase Sir2
SPBC31E1.04	pep12	K08488	SNARE Pep12
SPAC959.10	sen15	K15325	tRNA-splicing endonuclease subunit Sen15 (predicted)
SPBC2G2.01c	liz1	K03448	pantothenate transporter Liz1
SPBP19A11.03c	mts4	K03028	19S proteasome regulatory subunit Mts4
SPBC8D2.06	irs1	K01870	cytoplasmic isoleucine-tRNA ligase Irs1 (predicted) 
SPBC8D2.04	hht2	K11253	histone H3 h3.2
SPAC1420.02c	cct5	K09497	chaperonin-containing T-complex epsilon subunit Cct5
SPAC17A5.02c	dbr1	K18328	RNA lariat debranching enzyme Dbr1 
SPBC17G9.03c	krs1	K04567	cytoplasmic lysine-tRNA ligase Krs1 (predicted) 
SPAC22F8.09	rrp16	K14840	rRNA processing protein Rrp16 (predicted)
SPAC3H1.09c	avt3	K14209	vacuolar amino acid efflux transporter Avt3
SPAC1071.12c	stp1	K14394	dual specificity phosphatase Stp1 
SPAC14C4.13	rad17	K06662	RFC related checkpoint protein Rad17
SPAC14C4.16	dad3	K11568	DASH complex subunit Dad3
SPAC14C4.14	atp1	K02132	F1-ATPase alpha subunit 
SPCC830.05c	epl1	K11322	NuA4 histone acetyltransferase complex Epl1
SPCC74.06	mak3	K02486	histidine kinase Mak3
SPAC56F8.10	met9	K00297	methylenetetrahydrofolate reductase Met9 
SPAC56F8.11	spc3	K12948	signal peptidase subunit Spc3 (predicted)
SPBC839.17c	fkh1	K09568	FKBP-type peptidyl-prolyl cis-trans isomerase Fkh1 
SPCC16C4.03	pin1	K09578	peptidyl-prolyl cis-trans isomerase Pin1 
SPAC222.11	hem13	K00228	coproporphyrinogen III oxidase (predicted) 
SPAC29A4.08c	prp19	K10599	ubiquitin-protein ligase E4
SPCC1902.01	gaf1	K09184	transcription factor Gaf1
SPAC637.11	rpm2	K17675	mitochondrial ATP-dependent RNA helicase Rpm2
SPCC338.16	pof3	K15069	F-box protein Pof3
SPCC338.15	wbp1	K12670	dolichyl-di-phosphooligosaccharide-protein glycotransferase subunit Wbp1 (predicted)
SPBC685.05	gpi15	K03858	pig-H (predicted) 
SPBC685.06	rps001	K02998	40S ribosomal protein S0A
SPAC1420.03	rpn501	K03035	19S proteasome regulatory subunit Rpn501
SPBC685.02	exo5	K17815	mitochondrial single stranded DNA specific 5'-3' exodeoxyribonuclease Exo5 (predicted)
SPBC685.09	orc2	K02604	origin recognition complex subunit Orc2
SPAC4G8.06c	trm12	K07055	tRNA methyltransferase Trm12 (predicted)
SPAC30D11.07	nth1	K10773	DNA endonuclease III 
SPCC338.07c	naa15	K00670	NatA N-acetyltransferase complex regulatory subunit Naa15 (predicted)
SPCC290.02	rpc34	K03025	DNA-directed RNA polymerase III complex subunit Rpc34 (predicted) 
SPAC30D11.03	ddx27	K13181	ATP-dependent RNA helicase Ddx27/Drs1 (predicted)
SPCC18.06c	caf1	K12581	CCR4-Not complex CAF1 family ribonuclease subunit Caf1
SPCC1322.16	phb2	K17081	prohibitin Phb2 (predicted)
SPCC1322.15	rpl3402	K02915	60S ribosomal protein L34
SPCC1322.13	ade6	K11808	phosphoribosylaminoimidazole carboxylase Ade6 
SPCC1322.11	rpl2302	K02894	60S ribosomal protein L23
SPCC613.06	rpl902	K02940	60S ribosomal protein L9
SPCC613.09	sen54	K15326	tRNA-splicing endonuclease subunit Sen54 (predicted)
SPCC1620.10	cwf26	K13106	complexed with Cdc5 protein Cwf26
SPBP8B7.09c	los1	K14288	karyopherin exportin T Los1 (predicted)
SPCC1442.09	trp3	K01657	anthranilate synthase component I (predicted)
SPCC1235.13	ght6	K08139	hexose transporter Ght6
SPAC1805.11c	rps2602	K02976	40S ribosomal protein S26
SPCC576.10c	rpt3	K03063	19S proteasome regulatory subunit Rpt3 (predicted)
SPCC1442.06	pre8	K02726	20S proteasome component alpha 2, Pre8 (predicted) 
SPCC1840.10	lsm8	K12627	U6 snRNP-associated protein Lsm8 (predicted)
SPCC1840.11	csl4	K07573	exosome subunit Csl4 (predicted)
SPBC16A3.05c	rae1	K14298	RNA export factor, nucleoporin Rae1
SPAC6G10.11c	ubi3	K02977	ubiquitin-40S ribosomal protein S31 fusion protein
SPCC1795.03	gms1	K15272	UDP-galactose transporter Gms1
SPBC337.06c	cwf15	K12863	complexed with Cdc5 protein Cwf15
SPBC16E9.11c	pub3	K10591	HECT-type ubiquitin-protein ligase Pub3 (predicted)
SPCC1672.10	mis16	K10752	kinetochore protein Mis16
SPCC188.02	par1	K11584	protein phosphatase regulatory subunit Par1
SPCC188.03	cnd3	K06678	condensin complex non-SMC subunit Cnd3
SPBC1718.01	pop1	K03361	cullin 1 adaptor protein Pop1
SPAC19G12.07c	rsd1	K13091	RNA-binding protein Rsd1 (predicted)
SPBC6B1.10	prp17	K12816	splicing factor Prp17
SPBC577.06c	stt4	K00888	1-phosphatidylinositol 4-kinase Stt4 (predicted) 
SPAC1805.06c	hem2	K01698	porphobilinogen synthase Hem2 (predicted) 
ScpofMp10	cox2	K02261	cytochrome c oxidase 2
SPAC6B12.09	trm10	K15445	tRNA m(1)G methyltransferase Trm10 (predicted)
SPAC6B12.08	mug185	K09506	Co-chaperone for ATPase activity (predicted)
SPCC1739.09c	cox13	K02266	cytochrome c oxidase subunit VIa (predicted) 
SPAC23D3.11	ayr1	K06123	1-acyldihydroxyacetone phosphate reductase (predicted) 
SPBC887.14c	pfh1	K15255	DNA repair and recombination protein
SPCC1739.12	ppe1	K15427	serine/threonine protein phosphatase Ppe1 
SPBC1A4.02c	leu1	K00052	3-isopropylmalate dehydrogenase Leu1 
SPBC428.08c	clr4	K11419	histone H3 methyltransferase Clr4
SPCC14G10.03c	ump1	K11599	proteasome maturation factor Ump1 (predicted)
SPBC36.05c	clr6	K06067	histone deacetylase (class I) Clr6
SPBC2G5.03	ctu1	K14168	cytosolic thiouridylase subunit Ctu1
SPCC1183.06	ung1	K03648	uracil DNA N-glycosylase Ung1 
SPAC167.04	pam17	K17806	TIM23 translocase complex-associated motor subunit Pam17 (predicted)
SPAC167.01	ire1	K08852	serine/threonine protein kinase Ppk4/sensor for unfolded proteins in the ER (predicted)
SPAC167.02	ptb1	K05956	geranylgeranyltransferase II beta subunit Ptb1
SPAC637.10c	rpn10	K03029	19S proteasome regulatory subunit Rpn10
SPAC926.05c	dph4	K17867	diphthamide biosynthesis protein Dph4 (predicted)
SPBC2D10.15c	pth1	K01056	mitochondrial peptidyl-tRNA hydrolase Pth1 (predicted) 
SPBC27.08c	sua1	K00958	sulfate adenylyltransferase 
SPBC713.02c	ubp15	K11838	ubiquitin C-terminal hydrolase Ubp15 
SPAC20G8.06	not1	K12604	CCR4-Not complex subunit Not1 (predicted)
SPCC1259.01c	rps1802	K02964	40S ribosomal protein S18
SPBP23A10.14c	ell1	K15183	RNA polymerase II transcription elongation factor SpELL
SPBP8B7.27	mug30	K12232	ubiquitin-protein ligase E3 (predicted)
SPBP8B7.25	cyp4	K03768	cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp4 (predicted)
SPBP8B7.21	ubp3	K11841	ubiquitin C-terminal hydrolase Ubp3
SPAC2F3.10	vps54	K17600	GARP complex subunit Vps54 (predicted)
SPAC2F3.15	lsk1	K00916	P-TEFb-associated cyclin-dependent protein kinase Lsk1
SPAC22A12.11	dak1	K00863	dihydroxyacetone kinase Dak1 
SPBC32F12.03c	gpx1	K00432	glutathione peroxidase Gpx1 
SPCC162.09c	hmg1	K00021	3-hydroxy-3-methylglutaryl-CoA reductase Hmg1 
SPAC4D7.05	sum1	K03246	translation initiation factor eIF3i
SPAC4D7.03	pop2	K03361	F-box/WD repeat protein Pop2
SPBC16D10.04c	dna2	K10742	DNA replication endonuclease-helicase Dna2
SPAC4D7.09	tif223	K03241	translation initiation factor eIF2B gamma subunit (predicted)
SPAC17G6.04c	cpp1	K05954	protein farnesyltransferase beta subunit Cpp1 
SPAC12B10.05	icp55	K18573	mitochondrial intermediate cleavage peptidase Icp55 (predicted)
SPBC354.12	gpd3	K00134	glyceraldehyde 3-phosphate dehydrogenase Gpd3 
SPAC12B10.07	acp1	K10364	F-actin capping protein alpha subunit
SPBC1105.17	cnp1	K11495	centromere-specific histone H3 CENP-A
SPAC6F12.11c	sfc1	K15202	transcription factor TFIIIC complex A box associated subunit Sfc1
SPCC1827.08c	pof7	K10295	F-box protein Pof7
SPBC1198.14c	fbp1	K03841	fructose-1,6-bisphosphatase Fbp1
SPAC23G3.08c	ubp7	K11844	ubiquitin C-terminal hydrolase Ubp7
SPAC1B3.14	vma3	K02155	V-type ATPase V0 subunit c (proteolipid subunit) 
SPAC9.03c	brr2	K12854	U5 snRNP complex subunit Brr2 (predicted)
SPBC26H8.14c	cox17	K02260	cytochrome c oxidase copper chaperone Cox17 (predicted)
SPAC10F6.03c	cts1	K01937	CTP synthase Cts1 (predicted) 
SPAC20G4.02c	fus1	K17971	formin Fus1
SPAC17G8.07	yaf9	K11341	YEATS family histone acetyltransferase subunit Yaf9
SPAC3G6.13c	rpl4101	K02928	60S ribosomal protein L41
SPBC902.02c	ctf18	K11269	RFC-like complex subunit Ctf18
SPCC825.03c	psy1	K08486	SNARE Psy1
SPBC83.14c	rfc5	K10756	DNA replication factor C complex subunit Rfc5 (predicted)
SPAC1952.07	rad1	K02830	checkpoint clamp complex protein Rad1
SPAC1952.05	gcn5	K06062	SAGA complex histone acetyltransferase catalytic subunit Gcn5
SPAC1952.03	otu2	K18342	ubiquitin specific cysteine protease, OTU family, Otu2
SPBC83.03c	tas3	K11597	RITS complex subunit 3
SPCC965.05c	thp1	K03649	uracil DNA N-glycosylase Thp1 
SPAC4G9.10	arg3	K00611	ornithine carbamoyltransferase Arg3 
SPBC215.03c	csn1	K12175	COP9/signalosome complex subunit Csn1
SPBC8D2.15	lip5	K03644	mitochondrial lipoic acid synthetase Lip5 (predicted)
SPAC25G10.02	cce1	K17676	mitochondrial cruciform cutting endonuclease Cce1 
SPAC25G10.06	rps2801	K02979	40S ribosomal protein S28
SPCC1906.01	mpg1	K00966	mannose-1-phosphate guanyltransferase Mpg1 
SPAC19D5.06c	din1	K14845	Dhp1p-interacting protein Din1
SPAC2F7.03c	pom1	K18669	DYRK family protein kinase Pom1 
SPBC359.03c	aat1	K16261	amino acid permease
SPAC1093.06c	dhc1	K10413	dynein heavy chain Dhc1
SPAC1687.15	gsk3	K03083	serine/threonine protein kinase Gsk3
SPAC4F10.13c	mpd2	K18730	GYF domain protein
SPAC13A11.02c	erg11	K05917	sterol 14-demethylase (predicted) 
SPAPB2B4.05	vma5	K02148	V-type ATPase V1 subunit C (predicted) 
SPAPB2B4.03	cig2	K02220	G1/S-specific B-type cyclin Cig2
SPBC3D6.08c	lsm1	K12620	mRNA decapping complex subunit (predicted)
SPAC6G10.12c	ace2	K09238	transcription factor Ace2
SPAC14C4.03	mek1	K12776	meiosis-specific serine/threonine protein kinase 
SPAC821.08c	slp1	K03363	WD repeat-containing protein
SPBC16E9.12c	pab2	K14396	poly(A) binding protein Pab2
SPAC222.06	mak16	K14831	nuclear HMG-like acidic protein Mak16 (predicted)
SPAC222.09	seb1	K15560	RNA-binding protein Seb1
SPCC338.05c	mms2	K10704	ubiquitin conjugating enzyme Mms2
SPAC18G6.15	mal3	K10436	EB1 family Mal3
SPBC1347.01c	rev1	K03515	deoxycytidyl transferase Rev1 (predicted)
SPAC19G12.06c	hta2	K11251	histone H2A beta
SPAC637.07	moe1	K03251	translation initiation factor eIF3d Moe1
SPAPB8E5.02c	rpn502	K03035	19S proteasome regulatory subunit Rpn502
SPAC30D11.13	hus5	K10577	SUMO conjugating enzyme Hus5
SPAC30D11.12	rpl3802	K02923	60S ribosomal protein L38
SPAC30D11.10	rad22	K10873	DNA recombination protein Rad22
SPBC29B5.03c	rpl26	K02898	60S ribosomal protein L26
SPAC977.16c	dak2	K00863	dihydroxyacetone kinase Dak2 
SPBC23G7.16	ctr6	K14686	vacuolar copper transporter Ctr6
SPBC1348.14c	ght7	K08139	hexose transporter Ght7 (predicted)
SPCC1442.12	pps1	K17103	phosphatidylserine synthase Pps1 
SPAC1A6.09c	lag1	K04709	sphingosine N-acyltransferase Lag1
SPAC328.03	tps1	K00697	alpha,alpha-trehalose-phosphate synthase (UDP-forming) 
SPAC328.06	ubp2	K11849	ubiquitin C-terminal hydrolase Ubp2
SPAC3F10.18c	rpl4102	K02928	60S ribosomal protein L41
SPAP27G11.10c	nup184	K14311	nucleoporin Nup184
SPCC188.11	prp45	K06063	splicing factor Prp45
SPAC17A5.11	rec12	K10878	endonuclease Rec12
SPAC17A5.14	exo2	K12618	exonuclease II Exo2 
SPBC24C6.11	cwf14	K12873	G10 protein
SPAC227.08c	yth1	K14404	mRNA cleavage and polyadenylation specificity factor complex Yth1
SPCC18B5.03	wee1	K03114	M phase inhibitor protein kinase Wee1
SPBC405.07	rpl3602	K02920	60S ribosomal protein L36
SPCC1795.01c	mad3	K06680	mitotic spindle checkpoint protein Mad3
SPAC631.01c	acp2	K10365	F-actin capping protein beta subunit (predicted)
SPAC1D4.04	cct2	K09494	chaperonin-containing T-complex beta subunit Cct2
SPBC6B1.07	prp1	K12855	U4/U6 X U5 tri-snRNP complex subunit Prp1
SPCC16A11.17	mcm4	K02212	MCM complex subunit Mcm4/Cdc21
SPCC16A11.14	sfh1	K11770	RSC complex subunit Sfh1
SPAC9G1.02	wis4	K11230	MAP kinase kinase kinase Wis4
SPBC6B1.02	ppk30	K08853	Ark1/Prk1 family protein kinase Ppk30
SPCC4G3.15c	not2	K12605	CCR4-Not complex subunit Not2 (predicted)
SPAC23D3.07	pup1	K02739	20S proteasome component beta 2 (predicted) 
SPBC21.04	med8	K15130	mediator complex subunit Med8
SPAC23D3.02	rfc2	K10755	DNA replication factor C complex subunit Rfc2
SPAC11E3.04c	ubc13	K10580	ubiquitin conjugating enzyme Ubc13 
SPAC6B12.15	cpc2	K14753	40S ribosomal protein cpc2/RACK1
SPAC6B12.12	tom70	K17768	mitochondrial TOM complex subunit Tom70 (predicted)
SPAC23D3.09	arp42	K11400	SWI/SNF and RSC complex subunit Arp42
SPCC1739.03	hrr1	K11701	Helicase Required for RNAi-mediated heterochromatin assembly Hrr1
SPAC1F5.04c	cdc12	K17971	formin Cdc12
SPBC530.12c	pdf1	K07252	palmitoyl protein thioesterase-dolichol pyrophosphate phosphatase fusion 1 
SPAC24C9.10c	mrp4	K02967	mitochondrial ribosomal protein subunit S2 (predicted)
SPAC1805.12c	uep1	K02927	ubiquitin-60S ribosomal protein L40 fusion protein
SPAC4F8.07c	hxk2	K00844	hexokinase 2 
SPBC3B8.01c	arh1	K00528	NADPH-adrenodoxin reductase Arh1
SPAC24C9.07c	bgs2	K00706	1,3-beta-glucan synthase subunit Bgs2 
SPAC4F10.20	grx1	K03676	glutaredoxin Grx1
SPAC1B3.11c	ypt4	K07880	GTPase Ypt4
SPBC30D10.21	new18	K18170	mitochondrial protein
SPCC4B3.04c	nte1	K14676	lysophospholipase (predicted)
SPAC6F12.10c	ade3	K01952	phosphoribosylformylglycinamidine synthase Ade3 (predicted) 
SPCC1183.05c	lig4	K10777	DNA ligase Lig4
SPBC25H2.08c	mrs2	K16075	magnesium ion transporter Mrs2 (predicted)
SPBPJ4664.01	dps1	K05355	decaprenyl diphosphate synthase subunit Dps1 
SPBPJ4664.06	gpt1	K11718	UDP-glucose-glycoprotein glucosyltransferase Gpt1 
SPCC1442.08c	cox12	K02267	cytochrome c oxidase subunit VIb (predicted) 
SPBC13G1.10c	mug81	K18664	ATP-dependent RNA helicase Slh1 (predicted)
SPBC16H5.03c	fub2	K10685	SUMO E1-like activator enzyme Fub2 (predicted)
SPAC2C4.13	vma16	K03661	V-type ATPase V0 subunit c'' (predicted)
SPAC1F7.13c	rpl801	K02938	60S ribosomal protein L2
SPAC20G4.03c	hri1	K16194	eIF2 alpha kinase Hri1
SPBC1A4.03c	top2	K03164	DNA topoisomerase II 
SPAC144.03	ade2	K01939	adenylosuccinate synthetase Ade2 
SPCC330.14c	rpl2402	K02896	60S ribosomal protein L24
SPBC18E5.12c	mas2	K01412	mitochondrial processing peptidase(MPP) complex alpha subunit Mas2 (predicted) 
SPBC725.07	pex5	K13342	peroxisomal targeting signal receptor Pex5
SPBC336.14c	ppk26	K12572	serine/threonine protein kinase, PAN complex subunit, Ppk26
SPAC4D7.13	usp104	K12821	U1 snRNP-associated protein Usp104
SPBC26H8.01	thi2	K03146	thiazole biosynthetic enzyme
SPBC26H8.03	cho2	K16369	phosphatidylethanolamine N-methyltransferase Cho2 
SPBC146.14c	sec26	K17301	coatomer beta subunit (predicted)
SPAC23C11.04c	pnk1	K08073	DNA kinase/phosphatase Pnk1 
SPBC1105.05	exg1	K01210	glucan 1,6-beta-glucosidase Exg1 
SPBC1105.06	pmc4	K15146	mediator complex subunit Pmc4
SPAC27E2.05	cdc1	K02328	DNA polymerase delta small subunit Cdc1 
SPCC553.04	cyp9	K12736	WD repeat containing cyclophilin family peptidyl-prolyl cis-trans isomerase Cyp9 (predicted)
SPBC1105.09	ubc15	K10575	ubiquitin conjugating enzyme Ubc15 
SPAC27E2.09	mak2	K02486	histidine kinase Mak2
SPBC83.02c	rpl4302	K02921	60S ribosomal protein L43
SPBC24C6.06	gpa1	K04640	G-protein alpha subunit
SPBC2G2.15c	mrm2	K15508	mitochondrial 2' O-ribose methyltransferase Mrm2 (predicted)
SPAC1B3.05	not3	K12580	CCR4-Not complex subunit Not3/5 (predicted)
SPAPB1A10.04c	cwp1	K05955	geranylgeranyltransferase I alpha subunit Cwp1
SPAC27F1.09c	prp10	K12828	U2 snRNP-associated protein Sap155
SPBC18H10.08c	ubp4	K11839	ubiquitin C-terminal hydrolase Ubp4
SPAC22F8.10c	sap145	K12829	U2 snRNP-associated protein Sap145 (predicted)
SPCC31H12.07	sec231	K14006	COPII cargo receptor subunit Sec23a (predicted)
SPAC1687.06c	rpl44	K02903	ribosomal L28e protein family domain-containing protein
SPAC2F7.13c	wrs1	K01867	tryptophan-tRNA ligase Wrs1 (predicted) 
SPAC31G5.15	psd3	K01613	phosphatidylserine decarboxylase Psd3 
SPAC31G5.14	gcv1	K00605	glycine decarboxylase T subunit (predicted) 
SPCC663.01c	ekc1	K15501	protein phosphatase regulatory subunit Ekc1 (predicted)
SPAC32A11.04c	tif212	K03238	translation initiation factor eIF2 beta subunit (predicted)
SPAC31G5.13	rpn11	K03030	19S proteasome regulatory subunit Rpn11
SPAC6F12.03c	fsv1	K08501	SNARE Fsv1
SPAC1952.13	ned1	K15728	lipin Ned1 
SPBC36B7.03	sec63	K09540	ER protein translocation subcomplex subunit Sec63 (predicted)
SPBC2G2.03c	sbh1	K09481	translocon beta subunit Sbh1 (predicted)
SPBC36B7.07	tlg1	K08499	SNARE Tgl1 (predicted)
SPBC17A3.04c	rar1	K01874	cytoplasmic methionine-tRNA ligase Mrs1 (predicted) 
SPBC36B7.09	gcn2	K16196	eIF2 alpha kinase Gcn2
SPCC11E10.06c	elp4	K11375	elongator complex subunit Elp4 (predicted)
SPAC3A12.07	rpb11	K03008	RNA polymerase II complex subunit Rpb11
SPAC4G9.03	adk1	K00939	adenylate kinase Adk1 
SPAC4G9.02	rnh201	K10743	ribonuclease H2 complex subunit Rnh201 (predicted) 
SPBC16G5.14c	rps3	K02985	40S ribosomal protein S3
SPBC1539.08	arf6	K07941	ADP-ribosylation factor, Arf family Arf6
SPBC2A9.12	orc6	K02608	origin recognition complex subunit Orc6
SPCC1223.03c	gut2	K00111	glycerol-3-phosphate dehydrogenase Gut2 (predicted) 
SPBC428.05c	arg12	K01940	argininosuccinate synthase (predicted) 
SPCC16A11.02	utp13	K14555	U3 snoRNP-associated protein Utp13 (predicted)
SPAC1687.05	pli1	K04706	SUMO E3 ligase Pli1
SPAC29B12.02c	set2	K11423	histone lysine methyltransferase Set2
SPAC1687.01	rpc19	K03020	DNA-directed RNA polymerase I and III subunit Rpc19
SPBC1215.01	shy1	K14998	SURF-family protein Shy1 (predicted)
SPBC887.10	mcs4	K11233	response regulator Mcs4
SPBC887.11	pus2	K15452	tRNA pseudouridine synthase Pus2 (predicted) 
SPBC887.19	rft1	K06316	Man5GlcNac2-PP-Dol translocation protein Rft1 (predicted)
SPBC646.09c	int6	K03250	eukaryotic translation initiation factor 3 subunit E
SPAC18G6.03	ypt3	K07904	GTPase Ypt3
SPAC1071.10c	pma1	K01535	P-type proton ATPase, P3-type Pma1 
SPBC8D2.20c	sec31	K14005	COPII-coated vesicle component Sec31 (predicted)
SPCC970.12	mis18	K11564	kinetochore protein Mis18
SPAC1783.04c	hst4	K11121	Sir2 family histone deacetylase Hst4
SPAC17G8.04c	arc5	K05754	ARP2/3 actin-organizing complex subunit Arc5
SPCC1682.05c	srp68	K03107	signal recognition particle subunit (predicted)
SPAC17H9.17c	mdm10	K17774	Mdm10/Mdm12/Mmm1 complex subunit Mdm10 (predicted)
SPBC1289.07c	rpc40	K03027	DNA-directed RNA polymerase I and III subunit Rpc40 
SPAC1F5.07c	hem14	K00231	protoporphyrinogen oxidase (predicted) 
SPCC569.08c	ade5	K00601	phosphoribosylglycinamide formyltransferase (predicted) 
SPAC637.05c	vma2	K02147	V-type ATPase V1 subunit B 
SPBC29A3.07c	sab14	K12833	Pre-mRNA branch site p14-like protein
SPAC1B3.12c	rpb10	K03007	DNA-directed RNA polymerase I, II, and III subunit Rpb10
SPAC5H10.08c	pan6	K01918	pantoate-beta-alanine ligase 
SPBC30B4.04c	sol1	K11771	SWI/SNF complex subunit Sol1
SPBC13E7.10c	brf1	K15196	transcription factor TFIIIB complex subunit Brf1
SPBC1709.02c	vrs1	K01873	cytoplasmic valine-tRNA ligase Vrs1/Vas1 
SPCC191.07	cyc1	K08738	cytochrome c (predicted)
SPAC6C3.04	cit1	K01647	citrate synthase Cit1 
SPCC1672.08c	tfa2	K03137	transcription factor TFIIE beta subunit, TFIIEB, Tfa2
SPAC630.14c	tup12	K06666	transcriptional corepressor Tup12
SPAC6G9.10c	sen1	K10706	ATP-dependent 5' to 3' DNA/RNA helicase Sen1
SPBC146.12	coq6	K06126	monooxygenase Coq6 (predicted)
SPCC622.18	rpl6	K02934	60S ribosomal protein L6
SPAC17A5.01	pex6	K13339	peroxin-6 (predicted)
SPAC17A5.03	rpl301	K02925	60S ribosomal protein L3
