Dmel_CG43398	scrib	K16175	scribbled
Dmel_CG17828	mod(r)	K12185	modifier of rudimentary
Dmel_CG1963	Pcd	K01724	pterin-4a-carbinolamine dehydratase 
Dmel_CG4439	S-Lap8	K01255	Sperm-Leucylaminopeptidase 8 
Dmel_CG17795	mthl2	K04599	methuselah-like 2
Dmel_CG9401	mago	K12877	mago nashi
7635	Mec2	K17286	CG7635 gene product from transcript CG7635-RA
34246	Hsc20	K04082	Heat shock protein cognate 20
Dmel_CG42611	mgl	K06233	Megalin
Dmel_CG42616	Cul3	K03869	Cullin 3 
Dmel_CG17533	GstE8	K00799	Glutathione S transferase E8 
Dmel_CG8464	HtrA2	K08669	CG8464 gene product from transcript CG8464-RB 
16973	msn	K04413	misshapen 
1403	Sep1	K16942	Septin 1
Dmel_CG1675	Ntmt	K16219	N-terminal methyltransferase 
4963	mfrn	K15113	mitoferrin
1404	Ran	K07936	CG1404 gene product from transcript CG1404-RC
Dmel_CG5771	Rab11	K07904	CG5771 gene product from transcript CG5771-RA
4214	Syx5	K08490	Syntaxin 5
Dmel_CG4688	GstE14	K00799	Glutathione S transferase E14 
Dmel_CG9224	sog	K04657	short gastrulation
Dmel_CG17927	Mhc	K17751	Myosin heavy chain 
Dmel_CG8310	Vha36-3	K02149	Vacuolar H[+] ATPase 36kD subunit 3 
Dmel_CG42639	PPO1	K00505	Prophenoloxidase 1 
13348	Aats-phe	K01889	Phenylalanyl-tRNA synthetase 
Dmel_CG4685	Ssadh	K00139	Succinic semialdehyde dehydrogenase 
Dmel_CG11419	APC10	K03357	Anaphase Promoting Complex subunit 10
Dmel_CG6906	CAH2	K01672	Carbonic anhydrase 2 
Dmel_CG1417	slgA	K00318	sluggish A 
Dmel_CG4170	vig	K13199	vasa intronic gene
Dmel_CG1411	CRMP	K01464	Collapsin Response Mediator Protein 
Dmel_CG4173	Sep2	K16939	Septin 2
8127	Eip75B	K08701	Ecdysone-induced protein 75B
Dmel_CG5179	Cdk9	K02211	Cyclin-dependent kinase 9 
Dmel_CG5178	Act88F	K05692	Actin 88F
Dmel_CG7885	RpII33	K03011	RNA polymerase II 33kD subunit 
Dmel_CG11416	uri	K17560	unconventional prefoldin RPB5 interactor
Dmel_CG12403	Vha68-1	K02145	Vacuolar H[+] ATPase 68kD subunit 1 
Dmel_CG31742	Prosbeta5R2	K02737	Proteasome beta5 subunit-related 2 
Dmel_CG14899	Der-2	K13989	Derlin-2
4201	ird5	K07209	immune response deficient 5 
Dmel_CG31747	Gr36a	K08471	Gustatory receptor 36a
Dmel_CG31744	Gr36b	K08471	Gustatory receptor 36b
Dmel_CG12676	ed	K16680	echinoid
Dmel_CG5887	Desat1	K00507	Desaturase 1 
Dmel_CG31748	Gr36c	K08471	Gustatory receptor 36c
Dmel_CG33884	His2B:CG33884	K11252	CG33884 gene product from transcript CG33884-RA
1241	Atg2	K17906	Autophagy-specific gene 2
Dmel_CG9311	mop	K18040	myopic 
Dmel_CG9310	Hnf4	K08704	Hepatocyte nuclear factor 4
Dmel_CG6169	Dcp2	K12613	Decapping protein 2
Dmel_CG12501	Or56a	K08471	Odorant receptor 56a
Dmel_CG5998	Adgf-B	K01488	Adenosine deaminase-related growth factor B 
Dmel_CG42275	alpha-Man-I	K01230	alpha Mannosidase I 
Dmel_CG42276	Pde9	K13761	Phosphodiesterase 9 
Dmel_CG17489	RpL5	K02932	Ribosomal protein L5
Dmel_CG33889	His4:CG33889	K11254	CG33889 gene product from transcript CG33889-RA
Dmel_CG3466	Cyp4d2	K15001	Cytochrome P450-4d2 
Dmel_CG1140	SCOT	K01027	Succinyl-CoA:3-ketoacid CoA transferase 
Dmel_CG12697	Or13a	K08471	Odorant receptor 13a
31618	His2A:CG31618	K11251	CG31618 gene product from transcript CG31618-RA
3057	colt	K15109	congested-like trachea
Dmel_CG5317	RpL7-like	K02937	Ribosomal protein L7-like
Dmel_CR33427	5SrRNA:CR33427	K01981	5S ribosomal RNA
Dmel_CR33424	5SrRNA:CR33424	K01981	5S ribosomal RNA
Dmel_CG30342	Prp38	K12849	pre-mRNA processing factor 38
4105	Cyp4e3	K15001	Cytochrome P450-4e3 
Dmel_CR33423	5SrRNA:CR33423	K01981	5S ribosomal RNA
Dmel_CR33420	5SrRNA:CR33420	K01981	5S ribosomal RNA
Dmel_CG4779	hgo	K00451	homogentisate 1,2-dioxygenase 
Dmel_CG32435	chb	K16578	chromosome bows
1633	Jafrac1	K03386	thioredoxin peroxidase 1 
Dmel_CG4774	CLS	K08744	cardiolipin synthase 
Dmel_CG1303	agt	K00567	O-6-alkylguanine-DNA alkyltransferase 
Dmel_CG4772	Ugt86Dh	K00699	CG4772 gene product from transcript CG4772-RB 
Dmel_CG6949	mRpL45	K17426	mitochondrial ribosomal protein L45
8345	Cyp6w1	K14999	CG8345 gene product from transcript CG8345-RB 
Dmel_CG4771	vret	K18415	vreteno
5178	Act88F	K05692	Actin 88F
Dmel_CG4579	Nup154	K14312	Nucleoporin 154kD
Dmel_CG5085	Sirt2	K11412	CG5085 gene product from transcript CG5085-RB 
Dmel_CG11255	AdenoK	K00856	Adenosine Kinase 
Dmel_CG5083	Rbf2	K04681	Retinoblastoma-family protein 2
Dmel_CG16973	msn	K04413	misshapen 
Dmel_CG11522	RpL6	K02934	Ribosomal protein L6
8711	Cul4	K10609	Cullin 4
Dmel_CG4574	Plc21C	K05858	Phospholipase C at 21C 
32975	nAChRalpha5	K05312	nicotinic Acetylcholine Receptor alpha5
Dmel_CG11258	mRpL20	K02887	mitochondrial ribosomal protein L20
1901	mav	K04384	maverick
Dmel_CG13778	Mnn1	K14970	Menin 1
Dmel_CG12217	PpV	K15498	Protein phosphatase V 
10033	for	K07376	foraging 
7415	DppIII	K01277	Dipeptidyl aminopeptidase III
Dmel_CG42630	Ccdc56	K18175	Coiled-coil domain containing 56
Dmel_CG5268	blp	K17805	black pearl 
Dmel_CG9116	LysP	K13915	Lysozyme P 
3897	blot	K05336	bloated tubules
5320	Gdh	K00261	Glutamate dehydrogenase 
8956	Ahcy89E	K01251	Adenosylhomocysteinase 89E 
43946	Glut1	K07299	Glucose transporter 1
Dmel_CG8118	mam	K06061	mastermind
Dmel_CG7671	Nup43	K14305	Nucleoporin 43kD
33389	5SrRNA:CR33389	K01981	5S ribosomal RNA
Dmel_CG6395	Csp	K09525	Cysteine string protein
Dmel_CG6391	Aps	K07766	CG6391 gene product from transcript CG6391-RC 
6612	Adk3	K00939	Adenylate kinase-3 
Dmel_CG5229	chm	K11307	chameau 
Dmel_CG2204	Galphao	K04534	G protein alpha o subunit
Dmel_CG33897	His4:CG33897	K11254	CG33897 gene product from transcript CG33897-RA
Dmel_CG5222	IntS9	K13146	Integrator 9 
Dmel_CG5553	DNApol-alpha60	K02685	DNA polymerase alpha 60kD 
Dmel_CG5227	sdk	K16353	sidekick
Dmel_CG31196	14-3-3epsilon	K06630	CG31196 gene product from transcript CG31196-RD
Dmel_CG5224	GstE11	K00799	Glutathione S transferase E11 
10842	Cyp4p1	K15001	Cytochrome P450-4p1 
Dmel_CG5798	Ubpy	K11839	UBPY ortholog
10844	RyR	K04962	Ryanodine receptor
4618	CHMP2B	K12192	Charged multivesicular body protein 2b
11533	Asator	K08815	CG11533 gene product from transcript CG11533-RI 
10849	Sc2	K10258	CG10849 gene product from transcript CG10849-RA 
8416	Rho1	K04513	CG8416 gene product from transcript CG8416-RB
Dmel_CG10230	Rpn9	K03039	Regulatory particle non-ATPase 9
Dmel_CG18013	Psf2	K10733	CG18013 gene product from transcript CG18013-RC
Dmel_CG5796	Ppox	K00231	Protoporphyrinogen oxidase 
Dmel_CG3416	Rpn8	K03038	Regulatory particle non-ATPase 8
Dmel_CG5794	puf	K11853	puffyeye
Dmel_CG11323	TTLL3A	K16608	Tubulin tyrosine ligase-like 3A 
5794	puf	K11853	puffyeye
Dmel_CG11326	Tsp	K04659	Thrombospondin
31201	GluRIIE	K05313	Glutamate receptor IIE
Dmel_CG11324	homer	K15010	CG11324 gene product from transcript CG11324-RD
Dmel_CG11325	AkhR	K04280	Adipokinetic hormone receptor
Dmel_CG2684	lds	K15173	lodestar 
Dmel_CG11639	TfIIA-S-2	K03123	CG11639 gene product from transcript CG11639-RA
Dmel_CG44128	Src42A	K08892	Src oncogene at 42A 
Dmel_CG12265	Det	K08731	Deterin
5081	Syx7	K08488	Syntaxin 7
Dmel_CG2682	d4	K13196	CG2682 gene product from transcript CG2682-RB
5798	Ubpy	K11839	UBPY ortholog
8431	Aats-cys	K01883	Cysteinyl-tRNA synthetase 
Dmel_CG17223	alpha4GT1	K01988	CG17223 gene product from transcript CG17223-RA 
Dmel_CG7464	CS-2	K00698	Chitin synthase 2 
8182	GalNAc-T1	K00710	CG8182 gene product from transcript CG8182-RA 
Dmel_CG17227	lig3	K10776	DNA ligase III 
Dmel_CG17226	Or59c	K08471	Odorant receptor 59c
18317	Rim2	K15116	Rim2 ortholog (S. cerevisiae)
8893	Gapdh2	K00134	Glyceraldehyde 3 phosphate dehydrogenase 2 
10369	Irk3	K05330	Inwardly rectifying potassium channel 3
Dmel_CG7986	Atg18a	K17908	Autophagy-specific gene 18a
Dmel_CG5871	Oga	K15719	O-GlcNAcase 
7375	Ubc12	K10579	Ubiquitin conjugating enzyme 12 
12192	Klp59D	K10393	Kinesin-like protein at 59D
32351	S-Lap2	K11142	Sperm-Leucylaminopeptidase 2 
33418	5SrRNA:CR33418	K01981	5S ribosomal RNA
Dmel_CG5429	Atg6	K08334	Autophagy-specific gene 6
Dmel_CG2331	TER94	K13525	CG2331 gene product from transcript CG2331-RA 
Dmel_CR33365	5SrRNA:CR33365	K01981	5S ribosomal RNA
Dmel_CG5422	Rox8	K13201	CG5422 gene product from transcript CG5422-RD
8439	Cct5	K09497	T-complex Chaperonin 5 
Dmel_CG10697	Ddc	K01593	Dopa decarboxylase 
Dmel_CG10124	eIF4E-4	K03259	CG10124 gene product from transcript CG10124-RA
10938	Prosalpha5	K02729	Proteasome alpha5 subunit 
Dmel_CG10122	RpI1	K02999	RNA polymerase I subunit 
Dmel_CG10692	Mt2	K15336	Methyltransferase 2 
2675	Csat	K15272	CG2675 gene product from transcript CG2675-RC
43934	Hr4	K09185	CG43934 gene product from transcript CG43934-RK
Dmel_CG42856	Sik3	K16311	Salt-inducible kinase 3 
Dmel_CG11742	Or85d	K08471	Odorant receptor 85d
Dmel_CG10128	tra2	K12897	transformer 2
11859	RIOK2	K07179	RIO kinase 2 
Dmel_CG3069	Taf10b	K03134	TBP-associated factor 10b
9448	trbd	K11862	trabid
Dmel_CG5753	stau	K17597	staufen
Dmel_CG6838	ArfGAP3	K12493	ADP-ribosylation factor GTPase activating protein 3
31956	pgant4	K00710	polypeptide GalNAc transferase 4 
9116	LysP	K13915	Lysozyme P 
12286	kar	K08187	karmoisin
4898	Tm1	K10373	Tropomyosin 1
Dmel_CG8864	Cyp28a5	K15005	CG8864 gene product from transcript CG8864-RA 
Dmel_CG9242	bur	K01951	burgundy 
Dmel_CG8862	EndoG	K01173	Endonuclease G
Dmel_CG8863	Droj2	K09502	DnaJ-like-2
3705	aay	K01079	astray 
Dmel_CG2028	CkIalpha	K08957	Casein kinase Ialpha 
Dmel_CG14680	Cyp12e1	K15004	CG14680 gene product from transcript CG14680-RC 
4912	eEF1delta	K15410	CG4912 gene product from transcript CG4912-RB
Dmel_CG5052	pim	K16828	pimples
7749	kug	K16506	kugelei
Dmel_CG1471	CDase	K12349	Ceramidase 
Dmel_CG14041	SP555	K10345	CG14041 gene product from transcript CG14041-RB
11715	Cyp4g15	K15001	CG11715 gene product from transcript CG11715-RC 
17268	Prosalpha4T1	K02731	Proteasome alpha4 subunit, Testis-specific 1 
Dmel_CG3029	or	K12399	orange
Dmel_CG6016	bbc	K00993	bb in a boxcar 
Dmel_CG14048	mRpL14	K02874	mitochondrial ribosomal protein L14
4260	AP-2alpha	K11824	Adaptor Protein complex 2, alpha subunit
Dmel_CG3004	Lst8	K08266	CG3004 gene product from transcript CG3004-RA
10060	Galphai	K04630	G protein alpha i subunit
Dmel_CG3006	Fmo-1	K00485	Flavin-containing monooxygenase 1 
Dmel_CG3001	Hex-A	K00844	Hexokinase A 
Dmel_CG3000	rap	K03364	retina aberrant in pattern
Dmel_CG6030	ATPsyn-d	K02138	ATP synthase, subunit d 
5179	Cdk9	K02211	Cyclin-dependent kinase 9 
10069	MFS16	K13783	Major Facilitator Superfamily Transporter 16
Dmel_CG10045	GstD1	K00799	Glutathione S transferase D1 
Dmel_CG4501	bgm	K15013	bubblegum 
8322	ATPCL	K01648	ATP citrate lyase 
Dmel_CG32443	Pc	K11455	Polycomb
Dmel_CG6851	Mtch	K17885	Mitochondrial carrier homolog 1
Dmel_CG6850	Ugt	K11718	UDP-glucose-glycoprotein glucosyltransferase 
Dmel_CG3959	pelo	K06965	pelota
7383	eg	K08706	eagle
Dmel_CG6859	Pex3	K13336	Peroxin 3
Dmel_CG10908	Der-1	K11519	Derlin-1 
Dmel_CG7602	DNApol-iota	K03510	CG7602 gene product from transcript CG7602-RB 
Dmel_CG14825	BBS1	K16746	Bardet-Biedl syndrome 1 ortholog (H. sapiens)
33138	AGBE	K00700	1,4-Alpha-Glucan Branching Enzyme 
4162	lace	K00654	CG4162 gene product from transcript CG4162-RA 
Dmel_CG1577	mRpL52	K17433	mitochondrial ribosomal protein L52
33135	KCNQ	K05324	KCNQ potassium channel
Dmel_CG3569	Or59b	K08471	Odorant receptor 59b
Dmel_CG32072	Elo68alpha	K10249	Elongase 68alpha
Dmel_CG3131	Duox	K13411	Dual oxidase 
Dmel_CG6322	U4-U6-60K	K12662	U4-U6 small nuclear riboprotein factor 60K
Dmel_CG3132	Ect3	K12309	Ectoderm-expressed 3 
Dmel_CG3135	shf	K01691	shifted
Dmel_CG7578	Sec71	K18442	Sec71 ortholog (S. cerevisiae)
Dmel_CG9244	Acon	K01681	Aconitase 
Dmel_CG3136	Atf6	K09054	CG3136 gene product from transcript CG3136-RA
Dmel_CG10123	Top3alpha	K03165	Topoisomerase 3alpha 
7002	Hml	K03900	Hemolectin
Dmel_CG18740	mor	K11649	moira
2013	UbcD6	K10573	Ubiquitin conjugating enzyme 
Dmel_CG3319	Cdk7	K02202	Cyclin-dependent kinase 7 
33486	asparagine-synthetase	K01953	asparagine synthetase 
Dmel_CG7490	RpLP0	K02941	Ribosomal protein LP0 
Dmel_CG6148	Past1	K12483	Putative Achaete Scute Target 1
Dmel_CG7496	PGRP-SD	K01446	CG7496 gene product from transcript CG7496-RA 
Dmel_CR32882	snRNA:U2:38ABa	K14277	small nuclear RNA U2 at 38ABa
Dmel_CG7494	mRpL1	K02863	mitochondrial ribosomal protein L1
9066	MSBP	K17278	membrane steroid binding protein
Dmel_CG3647	stc	K12236	shuttle craft
Dmel_CG13030	sinah	K04506	sina homologue 
Dmel_CG6141	RpL9	K02940	Ribosomal protein L9
Dmel_CG10120	Men	K00029	Malic enzyme 
Dmel_CG6147	Tsc1	K07206	CG6147 gene product from transcript CG6147-RA
Dmel_CG3314	RpL7A	K02936	Ribosomal protein L7A
Dmel_CG30410	Rpi	K01807	Ribose-5-phosphate isomerase 
Dmel_CG4215	spel1	K08735	spellchecker1 
10449	Catsup	K14713	Catecholamines up
Dmel_CG3481	Adh	K00001	Alcohol dehydrogenase 
10117	ttv	K02366	tout-velu 
Dmel_CG14211	MKP-4	K14819	MAPK Phosphatase 4 
10443	Lar	K05695	Leukocyte-antigen-related-like 
Dmel_CG32258	Gr64e	K08471	Gustatory receptor 64e
Dmel_CG17176	ACXA	K01768	CG17176 gene product from transcript CG17176-RG 
Dmel_CG17170	su(f)	K14408	suppressor of forked
18803	Psn	K04505	Presenilin 
Dmel_CG9165	l(3)02640	K01749	lethal (3) 02640 
Dmel_CG10699	Lim3	K09374	CG10699 gene product from transcript CG10699-RF
Dmel_CG32255	Gr64f	K08471	Gustatory receptor 64f
Dmel_CG32257	Gr64b	K08471	Gustatory receptor 64b
Dmel_CG32256	Gr64c	K08471	Gustatory receptor 64c
4484	Slc45-1	K15378	Slc45 ortholog 1
10593	Acer	K01283	Angiotensin-converting enzyme-related 
4486	Cyp9b2	K15003	Cytochrome P450-9b2 
Dmel_CG1938	Dlic	K10416	Dynein light intermediate chain 
Dmel_CG7038	mRpL30	K02907	mitochondrial ribosomal protein L30
Dmel_CG7039	Arfrp1	K07952	ADP-ribosylation factor related protein 1
10594	spo	K14939	spook 
Dmel_CG17639	GstD11	K00799	Glutathione S transferase D11 
Dmel_CG7035	Cbp80	K12882	cap binding protein 80
8972	rho-7	K09650	rhomboid-7 
Dmel_CG7037	Cbl	K04707	CG7037 gene product from transcript CG7037-RB 
Dmel_CG1937	sip3	K10601	septin interacting protein 3 
8977	Cctgamma	K09495	CG8977 gene product from transcript CG8977-RB 
Dmel_CG4211	nonA	K13219	no on or off transient A
Dmel_CG7145	P5CDh1	K00294	delta-1-Pyrroline-5-carboxylate dehydrogenase 1 
Dmel_CG17166	mRpL39	K17420	mitochondrial ribosomal protein L39 
Dmel_CG4212	Rab14	K07881	CG4212 gene product from transcript CG4212-RA
6851	Mtch	K17885	Mitochondrial carrier homolog 1
Dmel_CG8782	Oat	K00819	Ornithine aminotransferase precursor 
Dmel_CG8781	tsu	K12876	tsunagi
Dmel_CG7143	DNApol-eta	K03509	CG7143 gene product from transcript CG7143-RA 
Dmel_CG7923	Fad2	K00507	CG7923 gene product from transcript CG7923-RA 
Dmel_CG7921	Mgat2	K00736	CG7921 gene product from transcript CG7921-RB 
Dmel_CG7926	Axn	K02157	Axin
Dmel_CG8789	wnd	K04422	wallenda 
Dmel_CG7925	tko	K02950	technical knockout
Dmel_CG7999	MED24	K15167	Mediator complex subunit 24
Dmel_CG42283	5PtaseI	K01106	CG42283 gene product from transcript CG42283-RB 
Dmel_CG3269	Rab2	K07877	CG3269 gene product from transcript CG3269-RA
Dmel_CG3265	Eb1	K10436	CG3265 gene product from transcript CG3265-RF
Dmel_CG14213	Rcd-1	K12606	Required for cell differentiation 1 ortholog
Dmel_CG7436	Nmt	K00671	N-myristoyl transferase 
Dmel_CG3260	Zfrp8	K14801	Zinc finger protein RP-8
Dmel_CG8070	Mys45A	K14856	Mystery 45A
Dmel_CG8073	Pmm45A	K01835	Phosphomannomutase 45A 
9191	Klp61F	K10398	Kinesin-like protein at 61F 
Dmel_CG4969	Wnt6	K00445	Wnt oncogene analog 6
Dmel_CG6521	Stam	K04705	Signal transducing adaptor molecule
Dmel_CG3796	ac	K09067	achaete
Dmel_CG4963	mfrn	K15113	mitoferrin
Dmel_CG16757	Spn	K17551	Spinophilin
Dmel_CG16755	Or85f	K08471	Odorant receptor 85f
Dmel_CG11628	step	K18441	steppke
Dmel_CG3352	ft	K16669	fat
Dmel_CG8676	Hr39	K08705	Hormone receptor-like in 39
Dmel_CG8674	l(2)k14505	K07556	lethal (2) k14505
Dmel_CG9446	coro	K13886	CG9446 gene product from transcript CG9446-RA
6699	beta'COP	K17302	Coat Protein (coatomer) beta'
Dmel_CG8678	Atg18b	K17908	Autophagy-specific gene 18b
8808	Pdk	K00898	Pyruvate dehydrogenase kinase 
Dmel_CG11579	arm	K02105	armadillo
Dmel_CG32498	dnc	K13293	dunce 
Dmel_CG6054	Su(fu)	K06229	Suppressor of fused
Dmel_CG18374	Gyk	K00864	Glycerol kinase 
Dmel_CG18375	ASPP	K17554	Ankyrin-repeat, SH3-domain, and Proline-rich-region containing Protein
Dmel_CG18801	Ku80	K10885	CG18801 gene product from transcript CG18801-RA 
Dmel_CG18802	alpha-Man-II	K01231	alpha Mannosidase II 
Dmel_CG18803	Psn	K04505	Presenilin 
Dmel_CG8091	Nc	K04489	Nedd2-like caspase 
8203	Cdk5	K02090	Cyclin-dependent kinase 5 
8200	Flo1	K07192	Flotillin 1
Dmel_CG8094	Hex-C	K00844	Hexokinase C 
Dmel_CG17566	gammaTub37C	K10389	gamma-Tubulin at 37C
Dmel_CG1796	Tango4	K12862	Transport and Golgi organization 4
Dmel_CG1795	Ogg1	K03660	CG1795 gene product from transcript CG1795-RA 
18069	CaMKII	K04515	Calcium/calmodulin-dependent protein kinase II 
Dmel_CG33850	His2A:CG33850	K11251	CG33850 gene product from transcript CG33850-RA
Dmel_CG33851	His3:CG33851	K11253	CG33851 gene product from transcript CG33851-RA
Dmel_CG18572	r	K11540	rudimentary 
Dmel_CG1242	Hsp83	K04079	Heat shock protein 83 
33860	His3:CG33860	K11253	CG33860 gene product from transcript CG33860-RA
Dmel_CG9786	hb	K09213	hunchback
Dmel_CG7815	Ran-like	K07936	CG7815 gene product from transcript CG7815-RA
Dmel_CG1249	SmD2	K11096	Small ribonucleoprotein particle protein SmD2
Dmel_CG33859	His2A:CG33859	K11251	CG33859 gene product from transcript CG33859-RA
Dmel_CG1799	ras	K00088	raspberry 
Dmel_CG7811	b	K01580	black 
Dmel_CG8233	Rcd1	K16719	Reduction in Cnn dots 1
14728	sad	K10722	shadow 
Dmel_CG17767	Tim9b	K17779	Translocase of inner membrane 9b 
Dmel_CG13867	MED8	K15129	Mediator complex subunit 8
Dmel_CG3861	kdn	K01647	knockdown 
Dmel_CG9414	Drep-4	K02311	DNA fragmentation factor-related protein 4
Dmel_CG9415	Xbp1	K09027	X box binding protein-1
1438	Cyp4c3	K15001	Cytochrome P450-4c3 
5408	trbl	K08814	tribbles 
Dmel_CG8416	Rho1	K04513	CG8416 gene product from transcript CG8416-RB
Dmel_CG8415	RpS23	K02973	Ribosomal protein S23
8967	otk	K05127	off-track 
Dmel_CG1644	Cyp6t1	K14999	CG1644 gene product from transcript CG1644-RA 
Dmel_CG8411	gcl	K10485	germ cell-less
4501	bgm	K15013	bubblegum 
12311	tw	K00728	Protein O-mannosyltransferase 2 
Dmel_CG8418	Ric	K07847	Ras-related protein interacting with calmodulin
Dmel_CG42865	trh	K09098	trachealess
Dmel_CG5940	CycA	K06627	Cyclin A 
4264	Hsc70-4	K03283	Heat shock protein cognate 4 
4265	Uch	K05609	Ubiquitin carboxy-terminal hydrolase
13977	Cyp6a18	K14999	CG13977 gene product from transcript CG13977-RB 
Dmel_CG15441	Gs1l	K17623	GS1-like 
Dmel_CG4141	Pi3K92E	K00922	CG4141 gene product from transcript CG4141-RB 
Dmel_CG1420	Slu7	K12819	CG1420 gene product from transcript CG1420-RA
Dmel_CG8327	SpdS	K00797	Spermidine Synthase 
Dmel_CG5949	DNApol-delta	K02327	DNA-polymerase-delta 
Dmel_CG4145	Cg25C	K06237	Collagen type IV
1345	Gfat2	K00820	Glutamine:fructose-6-phosphate aminotransferase 2 
Dmel_CG4147	Hsc70-3	K09490	Heat shock 70-kDa protein cognate 3 
Dmel_CG8322	ATPCL	K01648	ATP citrate lyase 
Dmel_CG33892	His2B:CG33892	K11252	CG33892 gene product from transcript CG33892-RA
Dmel_CG5163	TfIIA-S	K03123	Transcription-factor-IIA-S
Dmel_CG5164	GstE1	K00799	Glutathione S transferase E1 
Dmel_CG5165	Pgm	K01835	phosphoglucose mutase 
9878	Tim10	K17778	Translocase of inner membrane 10 
Dmel_CG14916	Gr32a	K08471	Gustatory receptor 32a
Dmel_CG5169	GckIII	K08838	Germinal centre kinase III 
Dmel_CG11401	Trxr-2	K00384	thioredoxin reductase 2 
Dmel_CG6413	Dis3	K12585	CG6413 gene product from transcript CG6413-RA 
Dmel_CG4079	Taf11	K03135	TBP-associated factor 11
Dmel_CG5899	Etl1	K14439	Etl1 homologue 
7719	gwl	K16309	greatwall 
Dmel_CG12190	RYBP	K11468	Ring and YY1 Binding Protein
Dmel_CG3683	NDUFA8	K03952	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8 
Dmel_CG12192	Klp59D	K10393	Kinesin-like protein at 59D
Dmel_CG12193	Or22a	K08471	Odorant receptor 22a
Dmel_CG2262	Smox	K04500	Smad on X
Dmel_CG12196	egg	K11421	eggless
Dmel_CG9307	Cht5	K01183	CG9307 gene product from transcript CG9307-RA 
Dmel_CG42267	RunxB	K09280	CG42267 gene product from transcript CG42267-RC
Dmel_CG8522	HLH106	K07197	Helix loop helix protein 106
8594	ClC-b	K05016	Chloride channel-b
Dmel_CG12449	Gfat1	K00820	Glutamine:fructose-6-phosphate aminotransferase 1 
8593	qm	K00804	quemao 
Dmel_CG8256	Gpo-1	K00111	Glycerophosphate oxidase-1 
Dmel_CG31617	His1:CG31617	K11275	CG31617 gene product from transcript CG31617-RA
Dmel_CG2525	Hus1-like	K10903	CG2525 gene product from transcript CG2525-RA
Dmel_CG2835	Galphas	K04632	G protein alpha s subunit
Dmel_CG2146	didum	K10357	dilute class unconventional myosin 
Dmel_CG9120	LysX	K01185	Lysozyme X 
Dmel_CG9122	Trh	K00502	Tryptophan hydroxylase 
9802	Cap	K06669	Chromosome-associated protein
Dmel_CG9124	eIF-3p40	K03247	Eukaryotic initiation factor 3 p40 subunit
Dmel_CG9127	ade2	K01952	adenosine 2 
Dmel_CR33431	5SrRNA:CR33431	K01981	5S ribosomal RNA
Dmel_CR33430	5SrRNA:CR33430	K01981	5S ribosomal RNA
5169	GckIII	K08838	Germinal centre kinase III 
Dmel_CR33432	5SrRNA:CR33432	K01981	5S ribosomal RNA
Dmel_CG5300	Klp31E	K10395	Kinesin-like protein at 31E
Dmel_CG4786	Rcd2	K16720	Reduction in Cnn dots 2
Dmel_CR33437	5SrRNA:CR33437	K01981	5S ribosomal RNA
Dmel_CR33436	5SrRNA:CR33436	K01981	5S ribosomal RNA
Dmel_CR33439	5SrRNA:CR33439	K01981	5S ribosomal RNA
Dmel_CR33438	5SrRNA:CR33438	K01981	5S ribosomal RNA
Dmel_CG18627	betaggt-II	K05956	beta subunit of type II geranylgeranyl transferase 
Dmel_CG1333	Ero1L	K10950	Endoplasmic reticulum oxidoreductin-1-like 
Dmel_CG14728	sad	K10722	shadow 
Dmel_CG16961	Or33b	K08471	Odorant receptor 33b
Dmel_CG16960	Or33a	K08471	Odorant receptor 33a
Dmel_CG8169	Pms2	K10858	CG8169 gene product from transcript CG8169-RA 
Dmel_CG34438	Cap-G	K06678	CG34438 gene product from transcript CG34438-RF
Dmel_CG11533	Asator	K08815	CG11533 gene product from transcript CG11533-RI 
Dmel_CG4548	XNP	K10779	CG4548 gene product from transcript CG4548-RA 
Dmel_CG5092	Tor	K07203	Target of rapamycin 
Dmel_CG10719	brat	K11997	brain tumor
Dmel_CG12227	skpF	K03094	CG12227 gene product from transcript CG12227-RA 
Dmel_CG12225	Spt6	K11292	CG12225 gene product from transcript CG12225-RA 
15257	Tim17b2	K17795	Translocase inner membrane 17 
Dmel_CG12220	mRpL32	K02911	mitochondrial ribosomal protein L32
Dmel_CG4542	xit	K03849	xiantuan 
4233	Got2	K14455	Glutamate oxaloacetate transaminase 2 
13391	Aats-ala	K01872	Alanyl-tRNA synthetase 
Dmel_CR33362	5SrRNA:CR33362	K01981	5S ribosomal RNA
Dmel_CG14724	CoVa	K02264	Cytochrome c oxidase subunit Va 
Dmel_CG17584	Or49b	K08471	Odorant receptor 49b
7404	ERR	K08703	estrogen-related receptor
Dmel_CG5920	RpS2	K02981	Ribosomal protein S2
7400	Fatp	K08745	Fatty acid (long chain) transport protein
7642	ry	K00106	rosy 
Dmel_CR33364	5SrRNA:CR33364	K01981	5S ribosomal RNA
Dmel_CG14026	tkv	K13578	thickveins
8442	GluRIA	K05313	Glutamate receptor IA
Dmel_CG16988	Roc1b	K03868	CG16988 gene product from transcript CG16988-RA 
Dmel_CG11354	Lim1	K09372	CG11354 gene product from transcript CG11354-RB
Dmel_CR33366	5SrRNA:CR33366	K01981	5S ribosomal RNA
Dmel_CG16983	skpA	K03094	CG16983 gene product from transcript CG16983-RD
Dmel_CG16982	Roc1a	K03868	CG16982 gene product from transcript CG16982-RC 
