AT3G50670	U1-70K	K11093	U1 small nuclear ribonucleoprotein-70K
AT1G02530	PGP12	K05658	P-glycoprotein 12
AT1G04270	RPS15	K02958	40S ribosomal protein S15-1
AT4G11840	PLDGAMMA3	K01115	phospholipase D gamma 3
AT2G33860	ETT	K14486	auxin response transcription factor 3
AT4G29740	CKX4	K00279	cytokinin dehydrogenase 4
AT1G52160	TRZ3	K00784	tRNAse Z3
AT2G37340	RSZ33	K12896	arginine/serine-rich zinc knuckle-containing protein 33
AT4G27030	FADA	K10704	palmitate desaturase
AT3G05710	SYP43	K08489	syntaxin-43
AT5G60790	GCN1	K06185	ABC transporter F family member 1
AT1G12950	RSH2	K03327	root hair specific 2
AT5G64210	AOX2	K17893	alternative oxidase 2
AT3G54050	HCEF1	K03841	fructose-1,6-bisphosphatase
AT1G26110	DCP5	K18749	protein decapping 5
AT3G56960	PIP5K4	K00889	phosphatidylinositol-4-phosphate 5-kinase 4
AT3G12800	SDRB	K13237	short-chain dehydrogenase-reductase B
AT4G36720	HVA22K	K17279	HVA22-like protein k
AT5G47080	CKB1	K03115	casein kinase 2 subunit beta
AT1G59750	ARF1	K14486	auxin response factor 1
AT2G20510	TIM44-1	K17804	translocase inner membrane subunit 44-1
AT3G22930	CML11	K13448	calmodulin-like protein 11
AT3G05530	RPT5A	K03065	regulatory particle triple-A ATPase 5A
AT5G65165	SDH2-3	K00235	succinate dehydrogenase [ubiquinone] iron-sulfur subunit 3
AT1G01600	CYP86A4	K15398	cytochrome P450, family 86, subfamily A, polypeptide 4
AT1G09795	ATP-PRT2	K00765	ATP phosphoribosyl transferase 2
AT1G55900	TIM50	K17496	mitochondrial import inner membrane translocase subunit TIM50
AT3G54230	SUA	K13094	splicing factor suppressor of abi3-5
AT2G41500	LIS	K12662	splicing factor PRP4-like protein LACHESIS
AT4G21960	PRXR1	K00430	peroxidase 42
AT1G17720	ATB_BETA	K04354	serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B beta isoform
AT5G35550	TT2	K09422	transcription factor TT2
AT4G17770	TPS5	K16055	putative trehalose phosphatase/synthase 5
AT1G66570	SUC7	K15378	putative sucrose transport protein SUC7
AT4G32770	VTE1	K09834	tocopherol cyclase
AT1G10060	BCAT-1	K00826	branched-chain-amino-acid aminotransferase 1
AT2G25490	EBF1	K14515	EIN3-binding F-box protein 1
AT4G16350	CBL6	K06268	calcineurin B-like protein 6
AT4G26720	PPX1	K15423	serine/threonine-protein phosphatase PP-X isozyme 1
AT5G16440	IPP1	K01823	Isopentenyl-diphosphate Delta-isomerase I
AT2G27170	TTN7	K06669	structural maintenance of chromosome 3
AT1G58080	ATP-PRT1	K00765	ATP phosphoribosyl transferase 1
AT1G26820	RNS3	K01166	ribonuclease 3
AT1G35160	GF14_PHI	K06630	14-3-3-like protein GF14 phi
AT5G48400	ATGLR1.2	K05387	glutamate receptor 1.2
AT5G02880	UPL4	K10590	E3 ubiquitin-protein ligase UPL4
AT1G29900	CARB	K01955	carbamoyl phosphate synthetase B
AT1G76680	OPR1	K05894	12-oxophytodienoate reductase 1
AT4G02890	UBQ14	K08770	polyubiquitin 14
AT3G24590	PLSP1	K03100	plastidic type I signal peptidase 1
AT1G16410	CYP79F1	K12154	dihomomethionine N-hydroxylase
AT2G03220	FT1	K13681	galactoside 2-alpha-L-fucosyltransferase
AT5G59180	NRPB7	K03015	DNA-directed RNA polymerase II subunit RPB7
AT3G46970	PHS2	K00688	alpha-glucan phosphorylase 2
AT5G55190	RAN3	K07936	GTP-binding nuclear protein Ran-3
ArthCp035	petA	K02634	apocytochrome f precursor
ArthCp036	psbJ	K02711	photosystem II reaction center subunit X
ArthCp037	psbL	K02713	PSII reaction center subunit XII
ArthCp030	rbcL	K01601	RuBisCO large subunit
ArthCp031	accD	K01963	acetyl-CoA carboxylase beta subunit
ArthCp032	psaI	K02696	photosystem I subunit VIII
ArthCp038	psbF	K02708	photosystem II reaction center subunit VI
ArthCp039	psbE	K02707	cytochrome b559 alpha subunit
AT2G27820	PD1	K05359	arogenate dehydratase 3
AT5G06290	2-Cys_Prx_B	K03386	2-cysteine peroxiredoxin B
AT3G01650	RGLG1	K16280	E3 ubiquitin-protein ligase RGLG1
AT3G06850	BCE2	K09699	dihydrolipoamide branched chain acyltransferase
AT4G17170	RABB1C	K07877	RAB GTPase homolog B1C
AT1G13950	ELF5A-1	K03263	translation initiation factor eIF-5A
AT2G24940	MAPR2	K17278	hypothetical protein
AT3G09270	GSTU8	K00799	glutathione S-transferase TAU 8
AT5G65940	CHY1	K05605	beta-hydroxyisobutyryl-CoA hydrolase 1
AT3G47990	SIS3	K16284	E3 ubiquitin-protein ligase SIS3
AT5G07210	RR21	K14491	putative two-component response regulator ARR21
AT1G62940	ACOS5	K01904	acyl-CoA synthetase 5
AT5G66880	SNRK2.3	K14498	serine/threonine-protein kinase SRK2I
AT5G43130	TAF4	K03129	TBP-associated factor 4
AT5G64140	RPS28	K02979	40S ribosomal protein S28-2
AT3G20290	EHD1	K12483	EPS15 homology domain 1 protein
AT2G02990	RNS1	K01166	ribonuclease 1
AT1G17260	AHA10	K01535	autoinhibited H(+)-ATPase isoform 10
AT1G47230	CYCA3;4	K06627	cyclin-A3-4
AT3G52115	GR1	K13096	protein gamma response 1
AT3G53420	PIP2A	K09872	aquaporin PIP2-1
AT5G65230	MYB53	K09422	myb domain protein 53
AT1G51950	IAA18	K14484	auxin-responsive protein IAA18
AT1G06430	FTSH8	K03798	ATP-dependent zinc metalloprotease FTSH 8
AT2G46030	UBC6	K10576	ubiquitin-conjugating enzyme E2 6
AT4G05000	VPS28-2	K12184	vacuolar protein sorting-associated protein 28-2
AT3G02730	TRXF1	K03671	thioredoxin F-type 1
AT5G50375	CPI1	K08246	cyclopropyl isomerase
AT1G10550	XTH33	K08235	probable xyloglucan endotransglucosylase/hydrolase protein 33
AT3G18780	ACT2	K10355	actin 2
AT3G47420	PS3	K13783	putative glycerol-3-phosphate transporter 1
AT4G02070	MSH6	K08737	DNA mismatch repair protein MSH6
AT1G68020	ATTPS6	K16055	alpha,alpha-trehalose-phosphate synthase [UDP-forming] 6
AT5G65780	ATBCAT-5	K00826	branched-chain-amino-acid aminotransferase 5
AT1G67110	CYP735A2	K10717	cytokinin hydroxylase
AT4G31870	GPX7	K00432	glutathione peroxidase 7
AT5G47960	RABA4C	K07904	RAB GTPase homolog A4C
AT3G13682	LDL2	K11450	lysine-specific histone demethylase 1-like 2
AT4G33220	PME44	K01051	pectinesterase 44
AT4G29840	MTO2	K01733	threonine synthase
AT5G03910	ATH12	K02021	ABC transporter B family member 29
AT1G23320	TAR1	K16903	tryptophan aminotransferase related 1
AT1G08550	NPQ1	K09839	Violaxanthin de-epoxidase
AT3G18130	RACK1C_AT	K14753	receptor for activated C kinase 1C
AT3G57290	EIF3E	K03250	eukaryotic translation initiation factor 3E
AT1G07230	NPC1	K01114	non-specific phospholipase C1
AT1G10950	TMN1	K17087	transmembrane nine 1
AT3G13110	SERAT2;2	K00640	serine acetyltransferase 2;2
AT3G13445	TBP1	K03120	TATA-box-binding protein 1
AT4G21980	APG8A	K08341	autophagy-related protein 8a
AT5G54260	MRE11	K10865	double-strand break repair protein MRE11
AT1G80010	FRS8	K17604	FAR1-related sequence 8
AT2G39800	P5CS1	K12657	delta1-pyrroline-5-carboxylate synthase 1
AT5G39340	AHP3	K14490	histidine-containing phosphotransfer protein 3
AT3G12240	SCPL15	K16296	serine carboxypeptidase-like 15
ArthMr001	rrn26	K01982	26S ribosomal RNA protein
AT3G30775	ERD5	K00318	proline dehydrogenase 1
AT3G19710	BCAT4	K00826	branched-chain aminotransferase4
AT3G09820	ADK1	K00856	adenosine kinase 1
AT3G16980	NRPB9A	K03017	DNA-directed RNA polymerases II, IV and V subunit 9A
AT1G04870	PRMT10	K11434	arginine methyltransferase 10
AT5G11860	SSP5	K17616	SCP1-like small phosphatase 5
AT5G45010	DSS1(V)	K10881	probable 26S proteasome complex subunit sem1-2
AT3G28360	PGP16	K05658	ABC transporter B family member 16
AT1G30040	GA2OX2	K04125	gibberellin 2-beta-dioxygenase 2
AT2G01570	RGA1	K14494	DELLA protein RGA
AT4G35740	RecQl3	K10901	ATP-dependent DNA helicase Q-like 3
AT2G24520	HA5	K01535	H(+)-ATPase 5
AT4G05130	ENT4	K15014	equilibrative nucleoside transporter 4
AT2G38170	CAX1	K07300	vacuolar cation/proton exchanger 1
AT5G06960	OBF5	K14431	OCS-element binding factor 5
AT1G57750	CYP96A15	K15405	alkane hydroxylase CYP96A15
AT4G34340	TAF8	K14649	TBP-associated factor 8
AT5G16290	VAT1	K01653	acetolactate synthase small subunit 1
AT4G21180	ATERDJ2B	K09540	J domain protein ATERDJ2B
AT1G20630	CAT1	K03781	catalase 1
AT5G13640	PDAT	K00679	phospholipid:diacylglycerol acyltransferase
AT4G38600	KAK	K10590	HECT ubiquitin protein ligase family protein
AT1G80260	emb1427	K16572	Spc97 / Spc98 family of spindle pole body (SBP) component
AT5G19000	BPM1	K10523	BTB-POZ and math domain-containing protein
AT5G03860	MLS	K01638	malate synthase
AT5G11110	SPS2F	K00696	sucrose phosphate synthase 2F
AT5G11260	HY5	K16241	transcription factor HY5
AT3G55260	HEXO1	K12373	beta-hexosaminidase 1
AT2G17430	MLO7	K08472	MLO-like protein 7
AT3G17690	CNGC19	K05391	cyclic nucleotide gated channel 19
AT3G44550	FAR5	K13356	fatty acyl-CoA reductase 5
AT4G14455	ATBET12	K08504	Bet1-like SNARE 1-2
AT3G59920	GDI2	K17255	RAB GDP dissociation inhibitor 2
AT1G14520	MIOX1	K00469	inositol oxygenase 1
AT2G31360	DS2	K00507	16:0delta9 desaturase 2
AT2G16920	UBC23	K10581	putative ubiquitin-conjugating enzyme E2 23
AT3G55460	SCL30	K12900	SC35-like splicing factor 30
AT3G25230	ROF1	K09571	rotamase FKBP 1
AT5G19220	APL1	K00975	glucose-1-phosphate adenylyltransferase large subunit 1
AT4G30190	HA2	K01535	H(+)-ATPase 2
AT1G27450	APT1	K00759	adenine phosphoribosyl transferase 1
AT5G18810	SCL28	K12900	SC35-like splicing factor 28
AT1G10600	AMSH2	K11866	associated molecule with the SH3 domain of STAM 2
AT2G27880	AGO5	K11593	argonaute 5
AT1G08830	CSD1	K04565	superoxide dismutase [Cu-Zn]
AT1G08520	ALB1	K03404	magnesium-chelatase subunit chlD
AT4G15850	RH1	K14807	RNA helicase 1
AT2G35190	NPSN11	K08494	novel plant SNARE 11
AT3G26570	PHT2;1	K14640	inorganic phosphate transporter 2-1
AT4G35100	PIP3	K09872	plasma membrane intrinsic protein 3
AT3G01390	VMA10	K02152	V-type proton ATPase subunit G1
AT1G02140	MAGO	K12877	protein mago nashi
AT4G01010	CNGC13	K05391	cyclic nucleotide-gated channel 13
AT5G17990	TRP1	K00766	anthranilate phosphoribosyltransferase
AT1G69370	CM3	K01850	chorismate mutase 3
AT1G21690	EMB1968	K10755	replication factor C subunit 4
AT5G61410	RPE	K01783	D-ribulose-5-phosphate-3-epimerase
AT1G04820	TUA4	K07374	tubulin alpha-4 chain
AT1G73640	RABA6a	K07976	ras-related protein RABA6a
AT5G13930	TT4	K00660	chalcone synthase
AT2G33670	MLO5	K08472	MLO-like protein 5
AT2G16850	PIP2;8	K09872	putative aquaporin PIP2-8
AT4G38460	GGR	K13789	geranylgeranyl reductase
AT1G08370	DCP1	K12611	mRNA-decapping enzyme 1
AT1G04310	ERS2	K14509	ethylene response sensor 2
AT1G15700	ATPC2	K02115	ATP synthase gamma chain 2
AT2G31180	MYB14	K09422	myb domain protein 14
AT3G19270	CYP707A4	K09843	abscisic acid 8'-hydroxylase 4
AT1G60960	IRT3	K14709	Fe(2+) transport protein 3
AT2G25930	ELF3	K12125	protein EARLY FLOWERING 3
AT1G26310	CAL	K09264	transcription factor CAULIFLOWER
AT3G17760	GAD5	K01580	glutamate decarboxylase 5
AT5G52360	ADF10	K05765	actin depolymerizing factor 10
AT3G44880	ACD1	K13071	pheophorbide A oxygenase
AT2G29900	PS2	K04505	Presenilin-2
AT4G19540	INDL	K03593	iron-sulfur protein required for NADH dehydrogenase
AT3G03530	NPC4	K01114	non-specific phospholipase C4
AT3G25520	ATL5	K02932	60S ribosomal protein L5-1
AT5G16830	SYP21	K08488	syntaxin-21
AT3G26618	ERF1-3	K03265	peptide chain release factor eRF subunit 1
AT1G56110	NOP56	K14564	nucleolar protein NOP56-like protein
AT5G12840	NF-YA1	K08064	nuclear transcription factor Y subunit A-1
AT2G44950	HUB1	K10696	E3 ubiquitin-protein ligase BRE1-like 1
AT3G27710	ARI3	K11968	putative E3 ubiquitin-protein ligase ARI3
AT1G08780	AIP3	K09550	ABI3-interacting protein 3
AT2G30580	DRIP2	K16277	E3 ubiquitin protein ligase DRIP2
AT4G31700	RPS6	K02991	40S ribosomal protein S6-1
AT1G19350	BES1	K14503	protein brassinazole-resistant 2
AT3G10640	VPS60.1	K12198	vacuolar protein sorting protein 60.1
AT4G01120	GBF2	K09060	basic leucine zipper transcription factor
AT2G28520	VHA-A1	K02154	vacuolar proton ATPase A1
AT3G21230	4CL5	K01904	4-coumarate--CoA ligase 5
AT5G23670	LCB2	K00654	serine palmitoyltransferase subunit LCB2
AT3G03780	MS2	K00549	methionine synthase 2
AT1G74430	MYB95	K09422	putative transcription factor MYB95
AT4G30510	G18B	K17908	autophagy-related protein 18b
AT1G13560	AAPT1	K00993	aminoalcoholphosphotransferase 1
AT3G49690	MYB84	K09422	transcription factor RAX3
AT2G23250	UGT84B2	K13692	UDP-glucosyl transferase 84B2
AT5G23290	PFD5	K04797	prefoldin subunit 5
AT3G56860	UBA2A	K12741	UBP1-associated protein 2A
AT5G24020	MIND	K03609	putative septum site-determining protein minD homolog
AT2G20580	RPN1A	K03028	26S proteasome regulatory subunit S2 1A
AT4G01830	PGP5	K05658	ABC transporter B family member 5
AT4G10570	UBP9	K11835	ubiquitin-specific protease 9
AT4G33510	DHS2	K01626	3-deoxy-d-arabino-heptulosonate 7-phosphate synthase
AT1G05570	CALS1	K11000	callose synthase 1
AT1G04550	IAA12	K14484	indole-3-acetic acid inducible 12
AT5G22500	FAR1	K13356	fatty acyl-CoA reductase 1
AT5G04110	GYRB3	K02470	DNA gyrase B3
AT3G05040	HST	K14289	protein HASTY
AT3G55040	GSTL2	K00799	glutathione transferase lambda 2
AT1G69740	HEMB1	K01698	putative delta-aminolevulinic acid dehydratase
AT5G27000	ATK4	K10406	kinesin 4
AT5G19910	MED31	K15153	mediator of RNA polymerase II transcription subunit 31
AT1G53500	MUM4	K12450	putative NDP-L-rhamnose synthase
AT2G36620	RPL24A	K02896	60S ribosomal protein L24-1
AT1G78440	ATGA2OX1	K04125	gibberellin 2-beta-dioxygenase 1
AT3G27620	AOX1C	K17893	alternative oxidase 1C
AT3G55280	RPL23AB	K02893	60S ribosomal protein L23a-2
AT4G39640	GGT1	K18592	gamma-glutamyl transpeptidase 1
AT2G40890	CYP98A3	K09754	cytochrome P450 98A3
AT1G13280	AOC4	K10525	allene oxide cyclase 4
AT4G18160	KCO6	K05389	protein two-pore potassium channel 3
AT3G07410	RABA5b	K07976	RAB GTPase-like protein A5B
AT1G73360	HDG11	K09338	homeobox-leucine zipper protein HDG11
AT1G66340	ETR1	K14509	ethylene receptor 1
AT5G65770	LINC4	K00826	LITTLE NUCLEI4
AT3G16785	PLDP1	K01115	phospholipase D P1
AT1G14720	XTH28	K08235	probable xyloglucan endotransglucosylase/hydrolase protein 28
AT1G59560	ZCF61	K15688	DIAP1-LIKE PROTEIN 2
AT1G48600	PMEAMT	K05929	phosphoethanolamine N-methyltransferase 2
ArthMp109	cox1	K02256	cytochrome c oxidase subunit 1
AT1G03430	AHP5	K14490	histidine-containing phosphotransfer protein 5
AT1G48605	ATHAL3B	K01598	putative phosphopantothenoylcysteine decarboxylase
AT4G11420	EIF3A	K03254	eukaryotic translation initiation factor 3A
ArthMp100	atp1	K02132	ATPase subunit 1
AT5G58240	FHIT	K01522	protein FRAGILE HISTIDINE TRIAD
AT4G01770	RGXT1	K11714	rhamnogalacturonan xylosyltransferase 1
AT5G47560	TDT	K14445	tonoplast dicarboxylate transporter
AT3G63470	scpl40	K16297	serine carboxypeptidase-like 40
AT3G43810	CAM7	K02183	calmodulin 7
AT3G23670	KINESIN-12B	K10400	kinesin-like protein KIN12B
AT1G52280	RABG3d	K07897	RAB GTPase homolog G3D
AT2G30970	ASP1	K14455	aspartate aminotransferase 1
AT2G18050	HIS1-3	K11275	histone H1-3
AT1G76040	CPK29	K13412	calcium-dependent protein kinase 29
AT3G45060	NRT2.6	K02575	high affinity nitrate transporter 2.6
AT1G61560	MLO6	K08472	MLO-like protein 6
AT1G67830	FXG1	K01206	alpha-L-fucosidase 1
AT2G40090	ATH9	K08869	ATH family protein ABC2-like 9
AT5G27640	TIF3B1	K03253	translation initiation factor 3 subunit B
AT4G27920	PYL10	K14496	abscisic acid receptor PYL10
AT2G36750	UGT73C1	K13496	UDP-glucosyl transferase 73C1
AT1G68760	NUDX1	K03574	nudix hydrolase 1
AT2G20610	SUR1	K11819	S-alkyl-thiohydroximate lyase SUR1
AT1G55130	TMN6	K17086	transmembrane nine protein 6
AT3G33520	ARP6	K11662	actin-related protein 6
AT1G32350	AOX1D	K17893	alternative oxidase 1D
AT2G47600	MHX	K03452	magnesium/proton exchanger
AT1G56330	SAR1B	K07953	GTP-binding protein SAR1B
AT5G10280	MYB92	K09422	myb domain protein 92
AT1G68560	XYL1	K15925	bifunctional alpha-l-arabinofuranosidase/beta-d-xylosidase
AT2G47980	SCC3	K06671	sister-chromatid cohesion protein 3
AT2G19900	NADP-ME1	K00029	NADP-dependent malic enzyme 1
AT5G17420	IRX3	K10999	cellulose synthase A catalytic subunit 7 [UDP-forming]
AT3G53160	UGT73C7	K13496	UDP-glucosyl transferase 73C7
AT5G48880	PKT2	K07513	3-keto-acyl-CoA thiolase 2
AT5G47780	GAUT4	K13648	probable galacturonosyltransferase 4
AT3G46900	COPT2	K14686	copper transporter 2
AT5G17770	CBR	K00326	NADH--cytochrome B5 reductase 1
AT3G57520	SIP2	K06617	putative galactinol--sucrose galactosyltransferase 2
AT1G32170	XTH30	K08235	probable xyloglucan endotransglucosylase/hydrolase 30
AT3G54420	EP3	K01183	chitinase class IV
AT4G17340	TIP2;2	K09873	tonoplast intrinsic protein 2;2
AT5G05080	UBC22	K10583	ubiquitin-conjugating enzyme E2 22
AT2G33870	ArRABA1h	K07976	RAB GTPaselike protein A1H
AT3G09940	MDHAR	K08232	monodehydroascorbate reductase (NADH)
AT3G08710	TH9	K03671	thioredoxin H9
AT1G56430	NAS4	K05953	nicotianamine synthase 4
AT1G05200	GLR3.4	K05387	glutamate receptor 3.4
AT1G32990	PRPL11	K02867	plastid ribosomal protein l11
AT5G14870	CNGC18	K05391	cyclic nucleotide-gated channel 18
AT5G10510	AIL6	K09285	AP2-like ethylene-responsive transcription factor AIL6
AT3G59600	NRPB8B	K03016	RNA polymerase Rpb8
AT1G75020	LPAT4	K13513	lysophosphatidyl acyltransferase 4
AT2G11810	MGDC	K03715	Monogalactosyldiacylglycerol synthase 3
AT3G56950	SIP2;1	K09875	putative aquaporin SIP2-1
AT1G17280	UBC34	K04554	ubiquitin-conjugating enzyme E2 34
AT1G12940	NRT2.5	K02575	nitrate transporter2.5
AT3G11520	CYCB1;3	K05868	cyclin-B1-3
AT5G64200	SC35	K12891	SC35-like splicing factor
AT1G69560	MYB105	K09422	MYB-domain transcription factor LOF2
AT4G36730	GBF1	K09060	G-box binding factor 1
AT4G09650	ATPD	K02113	F-type H+-transporting ATPase subunit delta
AT3G07560	PEX13	K13344	peroxin 13
AT4G03330	SYP123	K08486	syntaxin-123
AT1G17110	UBP15	K11855	ubiquitin carboxyl-terminal hydrolase 15
AT1G66230	MYB20	K09422	myb domain protein 20
AT1G35515	HOS10	K09422	R2R3-type MYB transcription factor
AT4G25080	CHLM	K03428	magnesium-protoporphyrin IX methyltransferase
AT1G06080	ADS1	K00507	delta-9 acyl-lipid desaturase 1
AT1G59940	ARR3	K14492	response regulator 3
AT1G55910	ZIP11	K14709	putative zinc transporter ZIP2 - like protein
AT3G43190	SUS4	K00695	sucrose synthase 4
AT3G51630	WNK5	K08867	putative serine/threonine-protein kinase WNK5
AT5G30510	RPS1	K02945	small subunit ribosomal protein S1
AT1G26560	BGLU40	K01188	beta glucosidase 40
AT1G17730	VPS46.1	K12197	ESCRT-related protein CHMP1B
AT1G13890	SNAP30	K18211	N-ethylmaleimide-sensitive factor adaptor protein 30
AT5G52520	OVA6	K01881	prolyl-tRNA synthetase
AT2G19470	ckl5	K02218	casein kinase I-like 5
AT2G06210	ELF8	K15176	protein early flowering 8
AT1G26810	GALT1	K14413	beta-1,3-galactosyltransferase 1
AT2G38910	CPK20	K13412	calcium-dependent protein kinase 20
AT5G06510	NF-YA10	K08064	nuclear transcription factor Y subunit A-10
AT2G19670	PRMT1A	K11434	protein arginine N-methyltransferase 1
AT1G76100	PETE1	K02638	plastocyanin 1
AT2G26350	PEX10	K13346	peroxin 10
AT4G18480	CHLI1	K03405	magnesium-chelatase subunit chlI
AT2G29550	TUB7	K07375	tubulin beta-7 chain
AT3G05630	PLDP2	K01115	phospholipase D P2
AT1G15050	IAA34	K14484	auxin-responsive protein IAA34
AT1G02930	GSTF6	K00799	glutathione S-transferase F6
AT4G34110	PAB2	K13126	polyadenylate-binding protein 2
AT5G64370	BETA-UP	K01431	beta-ureidopropionase
AT3G27380	SDH2-1	K00235	succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1
AT1G76690	OPR2	K05894	12-oxophytodienoate reductase 2
AT1G29970	RPL18AA	K02882	60S ribosomal protein L18a-1
AT4G29220	PFK1	K00850	6-phosphofructokinase 1
AT4G12620	ORC1B	K02603	origin of replication complex 1B
AT3G24503	ALDH2C4	K12355	aldehyde dehydrogenase 2C4
AT1G54080	UBP1A	K13201	oligouridylate-binding protein 1A
AT3G07610	IBM1	K15601	histone H3mK9 demethylase
AT2G03210	FUT2	K13681	fucosyltransferase 2
AT4G03400	DFL2	K14487	auxin-responsive GH3 family protein
AT2G33110	VAMP723	K08511	vesicle-associated membrane protein 723
AT3G17820	GLN1.3	K01915	glutamine synthetase cytosolic isozyme 1-3
AT3G15990	SULTR3;4	K17471	putative sulfate transporter 3;4
AT1G17420	LOX3	K00454	lipoxygenase 3
AT3G60640	ATG8G	K08341	autophagy-related protein 8g
AT1G67980	CCOAMT	K00588	caffeoyl-CoA 3-O-methyltransferase
AT5G13700	PAO1	K13366	polyamine oxidase 1
AT1G02840	SR1	K12890	Pre-mRNA-splicing factor SF2
AT4G17160	RABB1a	K07976	RAB GTPase homolog B1A
AT5G51760	AHG1	K14497	probable protein phosphatase AHG1
AT2G07340	PFD1	K09548	prefoldin 1
AT2G22290	RABH1d	K07893	RAB GTPase-like protein H1D
AT3G62910	APG3	K02835	protein CHLOROPLAST RIBOSOME RELEASE FACTOR 1
AT3G14020	NF-YA6	K08064	nuclear transcription factor Y subunit A-6
AT4G08920	CRY1	K12118	cryptochrome-1
AT5G02320	MYB3R-5	K09422	myb domain protein 3r-5
AT4G21560	VPS28-1	K12184	vacuolar protein sorting-associated protein 28-1
AT1G26960	AtHB23	K09338	homeobox-leucine zipper protein ATHB-23
AT3G57510	ADPG1	K01184	polygalacturonase ADPG1
AT1G63000	NRS/ER	K12451	UDP-4-keto-6-deoxy-d-glucose-3,5-epimerase-4-reductase 1
AT5G06600	UBP12	K11838	ubiquitin carboxyl-terminal hydrolase 12
AT3G10270	GYRB1	K02470	DNA gyrase subunit B
AT4G02280	SUS3	K00695	sucrose synthase 3
AT4G12440	APT4	K00759	adenine phosphoribosyl transferase 4
AT1G72330	ALAAT2	K00814	alanine aminotransferase 2
AT5G02500	HSC70-1	K03283	heat shock cognate protein 70-1
AT2G34500	CYP710A1	K09832	cytochrome P450 710A1
AT2G36310	URH1	K01240	Uridine nucleosidase 1
AT1G07430	HAI2	K14497	protein phosphatase 2C 3
AT5G54670	ATK3	K10405	kinesin 3
AT5G22880	HTB2	K11252	histone H2B
AT5G20960	AO1	K11817	aldehyde oxidase 1
AT5G53760	MLO11	K08472	MLO-like protein 11
AT3G17910	SURF1	K14998	Surfeit locus 1 cytochrome c oxidase biogenesis protein
AT1G16060	ADAP	K09285	AP2-like ethylene-responsive transcription factor
AT4G06746	RAP2.9	K09286	ethylene-responsive transcription factor RAP2-9
AT1G29150	ATS9	K03036	26S proteasome non-ATPase regulatory subunit 9
AT3G47340	ASN1	K01953	asparagine synthetase [glutamine-hydrolyzing]
AT3G23800	SBP3	K17285	selenium-binding protein 3
AT2G26760	CYCB1;4	K05868	cyclin-B1-4
AT4G37930	SHM1	K00600	serine transhydroxymethyltransferase 1
AT3G06930	PRMT4B	K05931	arginine methyltransferase 4B
AT2G34720	NF-YA4	K08064	nuclear transcription factor Y subunit A-4
AT5G50750	RGP4	K13379	reversibly glycosylated polypeptide 4
AT3G14570	GSL04	K11000	glucan synthase-like 4
AT4G13260	YUC2	K11816	protein YUCCA2
AT1G71100	RSW10	K01807	ribose 5-phosphate isomerase A
AT5G62530	ALDH12A1	K00294	delta-1-pyrroline-5-carboxylate dehydrogenase 12A1
AT1G70980	SYNC3	K01893	asparagine--tRNA ligase
AT1G16330	CYCB3;1	K05868	cyclin B3-1
AT1G65470	FAS1	K10750	chromatin assembly factor 1 subunit FAS1
AT4G21990	APR3	K05907	5'-adenylylsulfate reductase 3
AT1G51760	IAR3	K14664	IAA-amino acid hydrolase IAR3
AT5G54270	LHCB3	K08914	light-harvesting chlorophyll B-binding protein 3
AT3G45000	VPS24.2	K12193	vacuolar protein sorting protein 24.2
AT2G30575	LGT5	K13648	probable galacturonosyltransferase 5
AT2G30570	PSBW	K02721	photosystem II reaction center W protein
AT3G12780	PGK1	K00927	phosphoglycerate kinase 1
AT1G27980	DPL1	K01634	Sphingosine-1-phosphate lyase
AT1G15570	CYCA2;3	K06627	cyclin-A2-3
AT3G10110	MEE67	K17790	mitochondrial import inner membrane translocase subunit TIM22-1
AT1G32490	ESP3	K12813	DEAH RNA helicase homolog PRP2
AT1G78630	emb1473	K02871	50S ribosomal protein L13
AT2G30770	CYP71A13	K11868	cytochrome P450, family 71, subfamily A, polypeptide 13
AT2G04842	EMB2761	K01868	putative threonyl-tRNA synthetase / threonine--tRNA ligase
AT1G19890	MGH3	K11253	male-gamete-specific histone H3
AT1G63710	CYP86A7	K15398	cytochrome P450, family 86, subfamily A, polypeptide 7
AT5G48030	GFA2	K03686	gametophytic factor 2
AT1G69960	PP2A	K04382	serine/threonine protein phosphatase 2A
AT4G05100	MYB74	K09422	myb domain protein 74
AT2G38290	AMT2	K03320	ammonium transporter 2
AT2G13810	ALD1	K10206	AGD2-like defense response protein 1
AT1G21750	PDIL1-1	K09580	protein disulfide isomerase-like 1-1
AT4G29830	VIP3	K12602	SKI8 like WD40 repeat-containing protein
AT2G29640	JOSL	K15235	Josephin-like protein
AT5G62790	DXR	K00099	1-deoxy-D-xylulose 5-phosphate reductoisomerase
AT5G13710	SMT1	K00559	cycloartenol-c-24-methyltransferase
AT3G25140	QUA1	K13648	Galacturonosyltransferase 8
AT5G37720	ALY4	K12881	protein ALWAYS EARLY 4
AT5G04870	CPK1	K13412	calcium dependent protein kinase 1
AT4G34350	HDR	K03527	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
AT3G13782	NAP1;4	K11279	nucleosome assembly protein1;4
AT5G07390	RBOHA	K13447	Respiratory burst oxidase-A
AT5G16750	TOZ	K14555	WD-40 repeat protein TOZ
AT5G01500	TAAC	K14684	thylakoid ADP,ATP carrier protein
AT1G20620	CAT3	K03781	catalase 3
